	Predicted	Observed
0	341.678	330.8391
1	79.3352	54.9131
2	169.7449	122.3388
3	26.2796	9.8861
4	22.0875	1.705
5	76.9393	56.1189
6	167.1579	108.9918
7	476.0032	385.5332
8	152.6286	110.8769
9	95.9643	77.8685
10	326.071	263.3269
11	117.3502	89.0293
12	227.3706	165.4251
13	372.2734	355.9971
14	392.2266	232.2478
15	23.0139	1.7266
16	36.3442	15.9807
17	236.1099	234.7903
18	116.6823	96.547
19	297.5131	213.6876
20	361.6292	283.5455
21	352.1831	313.3285
22	108.5708	88.0812
23	209.0327	144.9682
24	268.2389	221.796
25	303.8296	197.8923
26	193.1142	139.9749
27	401.1873	309.1426
28	316.7762	253.3399
29	134.0769	46.3982
30	40.3201	14.9968
31	212.601	124.659
32	180.2051	144.8069
33	252.5547	231.1684
34	148.7969	116.8155
35	112.5198	73.4024
36	91.4692	56.761
37	181.6248	101.8567
38	149.8234	107.2989
39	28.8747	11.0164
40	219.8054	159.4762
41	472.8272	446.7962
42	64.3451	35.3687
43	257.8059	191.3094
44	253.9509	140.2279
45	536.3039	456.4103
46	126.7365	49.2047
47	142.5698	79.664
48	47.3622	27.9711
49	305.9193	228.1226
50	72.7527	28.8252
51	182.9018	140.1575
52	99.7074	63.2376
53	577.5619	498.6014
54	198.9567	185.9709
55	174.0505	85.9989
56	281.8411	203.9505
57	217.6128	94.2165
58	227.1853	134.6472
59	243.6203	209.8293
60	232.6815	188.3322
61	466.9464	378.1464
62	283.4048	224.9686
63	525.4338	447.9108
64	289.2967	212.4093
65	346.6247	265.868
66	166.7473	112.2238
67	263.8115	214.1887
68	400.632	276.5738
69	467.6051	404.907
70	374.2311	270.5028
71	231.0007	154.7494
72	418.2378	352.6535
73	131.7813	124.1961
74	304.2377	234.1165
75	354.128	364.0
76	512.9184	364.2429
77	325.893	217.0135
78	259.6081	143.7808
79	292.0649	236.7306
80	254.4287	303.7353
81	265.1704	205.1523
82	117.6639	95.9919
83	25.1705	9.228
84	212.4005	203.9793
85	333.394	407.8755
86	225.252	118.2897
87	129.9088	70.872
88	422.3038	276.134
89	243.834	142.8315
90	304.0582	158.8448
91	172.42	143.7931
92	249.2795	211.8958
93	283.0875	234.5779
94	210.6279	116.0287
95	249.0684	195.9366
96	364.6023	255.5432
97	248.8807	158.9684
98	91.0207	42.4146
99	259.8525	188.9549
100	296.1017	246.1677
101	247.7466	179.8482
102	264.9676	178.6506
103	284.1602	198.559
104	536.1365	448.4082
105	141.0366	100.2759
106	24.5077	2.2555
107	112.0214	46.496
108	276.3148	211.3373
109	161.8696	108.0286
110	60.0889	16.3258
111	421.2483	298.786
112	229.2967	127.3721
113	253.2559	205.5789
114	232.8202	198.7817
115	85.8561	64.8582
116	400.3746	341.6621
117	404.2906	335.1695
118	246.2069	164.5622
119	226.0238	209.8891
120	363.1211	368.9495
121	320.0965	215.0523
122	260.5557	170.9407
123	318.4946	312.9191
124	204.4896	312.3935
125	264.4545	331.9009
