	Predicted	Observed
0	0.6172	1.6863
1	203.1984	166.8214
2	18.7068	2.9746
3	264.9112	243.7635
4	153.26	158.5318
5	284.1796	252.2449
6	3.7596	2.6473
7	254.888	194.4193
8	193.092	227.5164
9	201.9108	219.2809
10	132.8944	248.6271
11	104.3448	97.6765
12	38.294	44.7844
13	207.2048	191.3094
14	93.5956	70.872
15	193.6348	187.1002
16	59.3544	63.5051
17	137.828	118.0201
18	221.0836	181.4413
19	73.8256	75.3434
20	235.1164	196.3465
21	178.3128	153.5542
22	364.1392	404.907
23	187.1676	119.7979
24	194.6396	207.3153
25	367.6512	370.9442
26	79.5384	92.2227
27	106.0236	122.3556
28	134.7828	109.5619
29	122.9548	109.5987
30	338.4796	332.0136
31	186.5324	174.0223
32	348.7372	298.7782
33	169.4464	150.8216
34	115.1808	128.1516
35	39.3344	13.5192
36	282.7316	295.7545
37	147.4676	204.9703
38	78.8336	69.9517
39	352.3972	405.2263
40	192.1908	179.3774
41	369.2648	352.854
42	122.2268	103.8209
43	158.8928	143.3915
44	270.6636	313.8711
45	323.6688	298.6678
46	54.5764	54.9131
47	171.24	164.5622
48	386.2236	357.0201
49	54.2708	30.4546
50	349.578	364.0
51	275.6228	250.9709
52	234.7976	215.1585
53	148.2496	151.0582
54	90.1868	76.1457
55	142.0928	139.9749
56	152.1688	102.4556
57	298.1728	276.0897
58	302.8576	302.9804
59	40.7776	43.9159
60	45.654	48.2619
61	129.1312	110.8769
62	401.0524	411.1455
63	165.9332	170.9407
64	192.2164	214.6185
65	262.6452	212.6906
66	184.0	204.151
67	166.1716	149.7458
68	104.766	141.8063
69	333.0796	378.1464
70	378.8676	446.7962
71	279.386	232.2478
72	82.6352	138.0344
73	125.4048	103.5407
74	186.0288	168.1543
75	88.6912	77.9649
76	280.2848	249.975
77	263.3636	239.6884
78	287.8028	286.4121
79	11.7832	16.7756
80	154.2524	142.8315
81	126.0044	132.0598
82	150.646	163.4287
83	64.99	61.6774
84	204.1144	230.2783
85	117.4776	89.6204
86	140.3348	112.6373
87	94.3468	77.1249
88	361.658	335.1695
89	378.144	355.9971
90	181.6632	172.4012
91	188.0304	213.6876
92	178.3048	181.7605
93	187.0788	192.2719
94	173.7412	151.6887
95	295.5512	304.1896
96	353.7532	368.9495
97	369.3596	323.3035
98	2.3052	2.2555
99	241.6836	303.7353
100	243.3988	217.1478
101	182.2472	232.38
102	382.7908	366.595
103	328.0528	314.5123
104	196.2236	225.9044
105	219.74	273.5577
106	350.512	298.786
107	317.236	352.6535
108	287.1256	285.2218
109	17.4768	2.4861
110	95.5404	81.3632
111	191.0444	176.2151
112	261.8652	223.8488
113	204.3172	238.1947
114	164.7732	154.7494
115	325.8716	336.329
116	211.1112	221.7594
117	234.316	312.3935
118	179.13	160.0273
119	230.8864	214.4452
120	86.3764	92.2856
121	93.348	84.7955
122	48.3096	32.9648
123	216.0752	206.4429
124	228.4416	225.7424
125	228.3104	190.3208
126	168.6588	176.1101
127	293.912	370.4347
128	195.752	183.9858
129	137.1704	152.0916
130	216.2604	211.5602
131	342.9712	346.2627
132	343.5488	394.0194
133	224.9752	390.2431
134	208.0776	214.8717
135	131.6828	95.4379
136	145.1276	156.3607
137	81.9732	72.3636
138	232.3076	229.2388
139	66.8296	63.424
140	56.6972	44.6225
141	347.8676	327.4812
142	298.234	312.9191
143	90.1628	70.8698
144	268.5572	407.8755
145	28.2072	28.8252
146	194.9532	225.9044
147	22.3396	25.2886
148	216.76	239.4014
149	172.202	183.2969
150	331.1836	341.0699
151	166.418	163.497
152	137.038	141.6758
153	163.774	154.7049
154	314.3828	276.5738
155	286.2708	258.4514
156	202.6032	198.559
157	218.01	183.1173
158	231.6876	210.1038
159	230.8444	214.2436
160	402.41	385.5332
161	160.2344	140.276
162	144.5808	125.7593
163	310.6368	355.3039
164	203.4324	227.5943
165	79.438	73.6136
166	239.4508	227.0371
167	113.1544	112.2238
168	28.686	27.9711
169	155.4044	123.5676
170	334.8156	309.1426
171	90.8464	88.0812
172	530.4068	500.879
173	417.8856	365.1241
174	226.9108	233.8401
175	180.908	157.86
176	16.3584	2.1353
177	269.3344	306.1998
178	257.5164	224.9686
179	9.8676	10.3126
180	369.914	379.9341
181	217.144	222.5811
182	245.5552	178.1112
183	316.972	330.8537
184	142.2904	133.5887
185	193.1572	202.3728
186	460.1156	498.6014
187	131.2512	133.4628
188	106.13	116.417
189	149.6436	148.9688
190	257.674	331.9009
191	115.8708	84.3182
192	301.9696	275.9027
193	20.7924	9.8861
194	81.3552	74.5312
195	258.3804	224.9686
196	186.5932	191.9806
197	225.0152	211.4301
198	73.2168	58.4786
199	64.3388	62.2448
200	37.1172	49.8484
201	207.8452	214.1887
202	102.2048	121.7342
203	181.0492	159.4762
204	222.122	239.9835
205	264.052	326.3531
206	99.378	127.9461
207	277.0892	268.9058
208	93.1888	111.8214
209	202.894	178.5279
210	216.7816	205.1523
211	20.1396	2.7704
212	202.8848	164.2073
213	349.336	427.8195
214	46.7924	36.4062
215	180.6772	197.8923
216	38.2952	46.3982
217	177.378	187.1002
218	210.2984	239.4014
219	161.7392	188.9549
220	288.8456	294.1304
221	215.6312	246.7676
222	20.13	20.7824
223	325.6704	323.5822
224	278.2924	254.2552
225	240.8936	204.7115
226	67.6208	78.9581
227	8.23	10.3219
228	46.5168	34.3349
229	75.814	108.2591
230	299.0256	263.7347
231	277.9328	292.9682
232	161.84	166.4285
233	70.0076	65.4498
234	297.4124	291.2334
235	215.5068	217.8585
236	250.4712	205.9892
237	10.9112	9.8524
238	170.6816	131.9317
239	54.5016	58.5067
240	199.8452	205.5789
241	94.8932	79.3839
242	57.886	56.1189
243	11.8824	2.9373
244	83.644	74.3206
245	152.6652	124.659
246	120.8504	117.9755
247	440.7148	454.8227
248	203.3744	195.1139
249	388.96	340.9835
250	381.8016	389.2294
251	71.1288	82.9684
