	Predicted	Observed
0	127.8676	108.351
1	211.8668	326.3531
2	372.5236	329.6836
3	181.2204	214.6185
4	207.6524	210.5691
5	34.3604	53.2997
6	399.1552	471.7867
7	70.1516	63.5051
8	357.356	324.8752
9	61.4436	72.3636
10	182.7852	168.1543
11	177.6792	186.432
12	119.548	103.8209
13	70.2396	111.8214
14	260.2424	294.1304
15	343.0172	327.4812
16	198.55	143.7808
17	366.3748	368.9495
18	106.8988	75.3434
19	132.7084	118.0201
20	223.45	194.4193
21	234.0824	369.4127
22	270.3568	265.035
23	135.0164	112.1168
24	181.4828	127.3721
25	349.9956	336.3601
26	108.0632	83.4874
27	253.3316	224.9686
28	156.7056	141.4101
29	207.5112	225.9044
30	368.9896	352.854
31	251.2156	407.8755
32	120.7848	248.6271
33	0.0	1.705
34	145.1752	248.5914
35	250.2784	243.7635
36	111.6388	108.0286
37	10.0508	14.271
38	165.5932	116.5695
39	221.6152	224.9686
40	189.4028	191.5889
41	158.7632	160.0273
42	304.6424	343.8123
43	80.0684	74.5312
44	80.4516	82.9684
45	164.9508	160.9586
46	193.8	179.4283
47	345.2004	341.6621
48	178.6632	219.2809
49	193.6736	239.4014
50	138.99	96.547
51	178.2032	178.671
52	268.572	223.8488
53	263.7924	260.647
54	300.9304	314.5123
55	292.6536	330.8537
56	186.5756	246.7676
57	57.3132	16.3258
58	167.2708	179.159
59	175.2752	186.0779
60	98.83	84.3182
61	212.7004	231.8588
62	78.952	58.4786
63	91.5356	128.1516
64	391.3924	340.9835
65	126.196	108.2591
66	219.4252	217.1478
67	253.2308	232.2478
68	154.6144	102.4556
69	194.254	166.9669
70	284.5668	323.484
71	339.0452	312.8938
72	168.1804	166.8214
73	229.7896	225.0358
74	58.874	77.9466
75	252.3016	265.2337
76	54.0756	43.9159
77	371.3696	379.9341
78	165.6828	177.7565
79	191.2612	227.5943
80	212.7176	273.7795
81	197.3664	191.3317
82	39.3736	17.2288
83	265.5232	272.7273
84	125.5044	124.659
85	197.1832	204.151
86	57.3724	51.9483
87	154.666	165.4251
88	105.8256	138.0344
89	135.2736	120.9644
90	135.3244	140.9378
91	94.9604	92.021
92	137.5996	146.2497
93	130.8864	129.1137
94	307.2424	364.0
95	445.7712	406.4139
96	218.7796	337.4087
97	155.4776	116.0287
98	26.044	20.7824
99	78.1316	61.6774
100	522.428	500.879
101	284.9072	275.9748
102	252.9284	300.3837
103	264.4552	266.2894
104	7.9252	10.3126
105	182.3456	178.816
106	160.4264	172.4012
