	Predicted	Observed
0	186.2144	195.9579
1	181.8044	186.432
2	107.7824	84.3182
3	128.8764	176.1101
4	210.0404	369.4127
5	107.0556	122.9729
6	167.4624	214.2436
7	225.3916	222.7642
8	111.9616	140.9712
9	205.1628	201.0541
10	180.8216	206.0334
11	371.2608	366.595
12	104.3696	112.6373
13	76.1588	32.9648
14	134.2628	116.0287
15	38.5716	16.1652
16	136.6808	131.4051
17	392.8228	454.8227
18	143.7228	118.2897
19	106.7092	138.0344
20	234.9752	211.3373
21	160.7508	188.9701
22	54.7604	42.4146
23	300.8464	310.1948
24	189.618	202.3728
25	95.6244	127.9461
26	157.3552	156.3607
27	95.5076	106.5898
28	222.7304	204.7115
29	222.1812	215.1585
30	110.708	76.1457
31	233.4904	236.8901
32	185.2028	154.2027
33	144.9164	213.6876
34	153.8128	158.8448
35	173.3328	214.1887
36	89.2608	151.2231
37	64.136	2.4861
38	368.4624	411.1455
39	513.61	500.879
40	335.6864	365.6855
41	73.9896	79.3839
42	70.2528	46.3982
43	299.5752	276.0897
44	83.194	17.2288
45	186.0444	185.9709
46	255.8892	352.6535
47	131.9948	150.042
48	227.6988	263.3269
49	283.3424	304.1896
50	125.2452	77.9466
51	195.532	147.6698
52	137.9888	132.6916
53	166.5024	143.1559
54	368.8468	448.4082
55	244.2104	262.5545
56	148.1296	130.1509
57	244.5684	178.5279
58	219.2044	164.2073
59	294.8696	351.5723
60	133.788	131.9787
61	147.9788	185.2213
62	333.7152	312.9191
63	199.3796	209.8293
64	101.3356	73.4853
65	92.2884	34.3349
66	188.71	191.9806
67	320.5292	324.8752
68	32.7336	23.911
69	269.0456	306.5873
70	110.1136	74.9249
71	166.0388	179.8482
72	570.2156	508.2688
73	142.5296	151.1765
74	323.1676	298.7782
75	442.1556	447.9108
76	166.2268	49.2047
77	364.5296	343.443
78	277.4944	258.9556
79	131.2244	112.8917
80	183.5888	211.4301
81	164.5268	96.3456
82	129.3568	48.2619
83	127.4056	95.9919
84	141.276	124.6783
85	250.6412	233.2122
86	97.2672	61.6774
87	88.718	14.3859
88	212.4092	272.7273
89	215.9132	108.2591
90	253.4692	268.4415
91	225.9912	227.0371
92	53.724	36.4062
93	152.5276	100.2759
94	222.1168	319.832
95	355.48	335.1046
96	173.2228	207.3153
97	81.674	10.3219
98	362.3764	355.9971
99	338.2836	427.8195
100	157.772	203.9793
101	251.2168	265.6017
102	241.3208	249.975
103	160.6092	217.8585
104	118.8468	132.0598
105	250.9912	264.4087
106	166.8656	213.1681
107	68.2916	2.1964
108	246.9748	300.3837
109	337.038	335.1695
110	351.9916	330.8391
111	96.8344	84.7955
112	315.9828	298.6678
113	216.9924	191.3094
114	108.2948	91.9179
115	244.3884	306.1998
116	272.6032	246.9288
117	291.4696	275.9748
118	60.7544	2.9746
119	103.0724	48.0639
120	236.8588	225.6809
121	100.5564	82.6951
122	41.43	2.9893
123	154.5492	144.0065
124	240.0644	224.9686
125	187.3088	225.4298
126	148.1608	96.547
127	159.0616	172.0987
128	183.8984	219.2809
129	260.69	243.7635
130	160.4844	159.5977
131	93.9136	141.8063
132	178.3368	267.0452
133	142.1484	142.8315
134	87.3244	51.9483
135	143.6928	232.38
136	83.2776	102.7978
137	105.1564	117.9755
138	96.9592	63.5051
139	139.5104	158.5318
140	394.1952	526.6111
141	34.1056	27.0018
142	276.6824	237.0702
143	85.9552	57.2076
144	187.3784	102.4556
145	172.8068	378.374
146	99.4828	108.0286
147	175.1312	158.9684
148	160.0228	92.2856
149	313.8188	356.6581
150	183.6072	338.1066
151	132.272	121.8048
152	245.4428	249.8403
153	244.6604	357.3361
154	122.232	126.2539
155	161.6412	189.8417
156	115.6748	116.8155
157	307.1696	329.6836
158	113.8684	201.2804
159	175.8572	199.9872
160	154.912	239.4014
161	292.6544	370.4347
162	173.6112	120.9654
163	147.0672	109.4607
164	12.9004	1.6863
165	233.1788	231.1684
166	89.9264	79.664
167	304.3388	394.0194
168	76.0728	54.9131
169	173.7292	160.9586
170	193.3172	183.1173
171	159.6344	128.807
172	47.2408	122.3556
173	357.1728	385.5332
174	299.292	313.3285
175	77.6476	58.5067
176	222.1632	217.1478
177	110.7028	99.6717
178	85.5632	59.9797
179	149.3832	225.9044
180	145.2	150.8216
181	185.82	190.8521
182	166.572	139.9749
183	189.7872	195.004
184	161.5388	159.4762
185	288.3316	214.9633
186	37.4288	11.0164
187	333.0184	404.907
188	159.5368	168.116
189	159.0452	169.1551
190	116.7676	78.9581
191	140.558	256.2849
192	300.1692	294.6213
193	184.9436	206.9501
194	365.2908	364.2429
195	134.7872	99.5504
196	257.1788	265.035
197	154.244	143.3954
198	142.738	326.3531
199	104.546	62.3109
200	113.9584	96.7581
201	203.4692	231.8588
202	88.7604	111.8214
203	298.88	375.576
204	371.1636	382.912
205	246.036	196.3465
206	45.1416	2.2989
207	91.8988	107.2989
208	135.8848	80.0273
209	254.888	276.134
210	204.2168	207.3832
211	285.246	314.5123
212	206.5916	166.8214
213	146.1152	191.0348
214	227.9036	215.0654
215	165.1284	183.2969
216	222.0024	214.4452
217	340.1332	357.0201
218	107.1376	155.5272
219	130.6828	123.0077
220	241.5316	285.749
221	256.9628	363.1158
222	254.1604	295.7545
223	215.2512	209.8891
224	93.9444	121.7342
225	68.3232	58.399
226	237.2696	296.9821
227	150.7488	100.9027
228	136.0292	112.5146
229	148.9564	146.0142
230	226.6908	216.877
231	149.194	228.1226
232	24.7064	46.5453
233	28.6068	19.7459
234	264.5268	355.3039
235	141.246	151.0582
236	158.564	151.6887
237	130.5056	157.86
238	111.3232	92.2227
239	153.7032	140.9378
240	84.0532	83.806
241	260.4392	225.0358
242	130.358	112.2238
243	150.8692	214.6185
244	279.6292	252.2449
245	142.85	67.2941
246	156.1616	170.9407
247	132.9708	233.6933
248	84.252	70.8698
249	297.988	265.2337
250	138.9336	154.7049
251	139.566	187.5575
252	334.672	323.3035
253	283.6652	239.6884
254	99.5764	103.5407
255	324.6328	312.8938
256	153.8084	116.5695
257	143.1264	140.7671
258	155.3944	158.9684
259	399.5912	456.4103
260	94.1524	9.8861
261	75.4552	59.6761
262	178.5476	194.3415
263	142.4116	168.1543
264	292.8244	309.1426
265	52.67	312.3935
266	169.5472	140.9661
267	283.942	346.8871
268	82.7164	62.2448
269	295.0056	337.6256
270	296.1696	341.0699
271	306.716	298.786
272	177.7988	163.1737
273	25.0636	28.8252
274	247.0312	276.5738
275	219.0392	223.8488
276	201.9972	199.2056
277	140.54	166.9669
278	154.9664	163.497
279	158.5848	146.2497
280	91.3996	76.3547
281	29.3064	9.228
282	103.8024	263.0306
283	204.404	157.9437
284	46.6864	2.9905
285	155.5864	221.7594
286	34.5216	2.6175
287	25.9872	35.3687
288	296.7608	379.9341
289	381.9028	390.8087
290	70.9084	52.6734
291	78.3388	58.4786
292	132.1836	47.2015
293	120.9128	110.8769
294	225.9292	252.803
295	144.4632	153.5542
296	86.9624	15.0873
297	189.7924	126.7922
298	93.0088	65.4498
299	125.1352	91.3918
300	283.7616	370.9442
301	276.416	294.5656
302	145.2508	262.3413
303	315.2392	346.2627
304	35.4996	1.7266
305	183.7956	209.9684
306	279.52	332.0136
307	203.418	194.547
308	117.1496	75.4106
309	75.856	2.2363
310	49.6632	9.8524
311	164.97	238.1947
312	247.016	265.868
313	186.928	100.7927
314	176.4124	131.9317
315	164.922	119.7979
316	112.8452	17.9017
317	185.4584	198.7817
318	195.9888	178.1112
319	148.5884	184.014
320	82.9136	31.3728
321	166.7656	178.671
322	143.7152	143.3915
323	133.2736	124.659
324	293.0672	378.1464
325	155.65	140.276
326	177.9972	188.3322
327	63.7328	46.496
328	104.8752	73.6136
329	161.3912	181.7605
330	279.6824	307.8613
331	454.7916	437.0048
332	212.8924	260.647
333	110.7156	136.7067
334	57.6268	30.4546
335	179.4248	210.1038
336	100.1768	77.1249
