	Predicted	Observed
0	98.214	117.9755
1	98.608	84.7955
2	490.5288	508.781
3	154.0608	194.4276
4	172.4012	179.159
5	303.5768	306.5873
6	130.7656	140.7671
7	173.644	202.3728
8	267.35	295.7545
9	412.162	365.1241
10	151.542	188.9549
11	204.2888	227.0371
12	199.8844	210.5691
13	163.7208	213.1681
14	197.6716	180.121
15	179.8956	326.3531
16	162.7188	187.1002
17	263.4456	232.5852
18	402.5988	343.443
19	233.9212	196.3465
20	122.3464	99.6717
21	0.0012	1.9616
22	242.0932	265.6017
23	300.706	310.1948
24	209.6348	267.0452
25	125.202	109.5987
26	104.1696	74.9249
27	187.1116	177.7565
28	112.0344	128.1516
29	200.4488	254.5794
30	33.8168	35.3687
31	26.964	16.3258
32	196.1284	168.916
33	134.066	256.2849
34	331.3112	276.134
35	151.3992	232.38
36	116.4	106.5898
37	169.3992	178.671
38	129.7552	136.2062
39	85.8924	83.4874
40	202.9	131.9317
41	357.0176	368.9495
42	67.3528	57.2076
43	373.9512	394.0194
44	13.372	2.9905
45	177.0188	171.1686
46	9.7132	9.8861
47	117.2072	92.2856
48	171.0496	176.1101
49	250.6224	292.9682
50	223.4296	261.68
51	19.8556	16.1628
52	117.6844	82.9684
53	123.664	97.6765
54	438.6152	471.7867
55	162.0104	228.1226
56	57.616	32.9648
57	167.8448	170.9407
58	225.1924	224.9686
59	146.3972	176.873
60	258.922	351.8943
61	97.1612	62.2448
62	384.2924	418.9769
63	326.1068	355.3039
64	381.7344	341.6621
65	121.8312	116.0287
66	304.9272	268.4415
67	224.3172	226.9084
68	176.2164	154.2027
69	151.6452	120.9644
70	21.6328	28.8252
71	184.5564	205.5789
72	141.8064	96.3456
73	208.9632	230.2783
74	54.4412	151.2231
75	181.0296	188.3322
76	217.0628	338.1066
77	54.516	31.8771
78	76.862	59.9797
79	130.5016	131.4051
80	4.174	14.271
81	205.0344	221.796
82	246.1716	266.2894
83	171.7064	172.0987
84	144.2972	204.9703
85	155.6888	155.5272
86	185.306	234.7903
87	148.8892	148.7853
88	2.8632	54.9131
89	292.4088	323.484
90	56.0744	73.4853
91	0.0256	2.0602
92	278.004	285.2218
93	101.5264	82.6951
94	234.8772	285.749
95	117.6116	121.8048
96	70.7544	46.496
97	102.7324	92.1502
98	72.1792	20.9925
99	127.918	151.0582
100	194.644	183.9858
101	17.6716	14.3859
102	221.98	191.5889
103	156.8796	160.004
104	1.1096	2.6473
105	189.1552	151.1765
106	347.0644	330.8391
107	100.238	233.6933
108	61.9652	48.7846
109	230.6436	189.6488
110	0.9292	2.3409
111	22.7848	27.0018
112	5.184	19.3019
113	100.9404	103.5708
114	90.6632	121.7342
115	357.7704	404.907
116	339.1976	267.6824
