	Predicted	Observed
0	159.4676	95.4379
1	193.6928	238.1947
2	121.764	133.5887
3	228.86	227.0371
4	0.65	1.9616
5	81.2468	44.7844
6	162.3124	176.6971
7	142.516	139.9749
8	168.6012	228.1226
9	428.5864	406.3199
10	239.2488	319.832
11	3.5216	16.4313
12	5.5516	2.6175
13	117.698	110.8769
14	2.9632	18.1352
15	34.7492	16.1882
16	227.126	272.7273
17	174.4612	170.9407
18	174.11	194.4276
19	175.284	179.4515
20	124.5792	131.0501
21	190.1756	230.2783
22	75.7244	61.6774
23	82.0108	81.3632
24	150.454	143.1559
25	12.8208	14.9968
26	146.376	131.4051
27	280.296	278.1701
28	97.6556	80.0273
29	69.4568	126.0078
30	177.2436	168.1543
31	69.202	58.399
32	198.4588	268.0468
33	147.038	120.9654
34	253.6224	337.1064
35	387.7316	390.8087
36	173.5196	159.4762
37	110.05	121.8048
38	202.918	223.5663
39	62.8048	51.9483
40	266.6128	254.2552
41	337.0556	368.9495
42	107.6192	70.872
43	3.1888	2.8931
44	19.0276	27.0018
45	209.1036	337.4087
46	162.8216	192.2719
47	345.2188	335.1046
48	120.8964	89.0293
49	99.2248	122.9729
50	185.7424	219.2809
51	292.362	262.5545
52	107.37	187.5575
53	42.9848	63.2376
54	112.2048	111.8233
55	217.9228	202.7537
56	191.0968	213.1681
57	29.5852	2.3409
58	13.8588	27.9711
59	109.0644	97.6765
60	169.0668	159.4854
61	93.95	84.7955
62	346.4136	298.7782
63	144.6928	153.3387
64	341.6252	298.786
65	237.2436	234.1165
66	54.6336	88.0812
67	292.3492	309.1426
68	191.714	195.004
69	29.8068	53.2997
70	183.7064	178.671
71	5.5988	2.2363
72	385.5692	448.4082
73	225.6528	205.1523
74	237.4628	166.8214
75	36.4296	32.9992
76	41.6792	34.3349
77	224.8368	147.6698
78	307.432	378.1464
79	135.2056	141.6758
80	357.7584	390.8087
81	232.988	225.0358
82	49.4596	48.388
83	234.4084	237.0702
84	40.3556	14.3859
85	120.5248	110.7088
86	12.4212	14.271
87	180.9512	187.1002
88	105.7696	112.6373
89	130.6596	99.5504
90	164.5096	177.7565
91	26.4976	13.7433
92	133.0352	120.9644
93	160.5768	178.816
94	49.7596	51.0578
95	249.0616	193.1207
96	297.8716	352.6535
97	118.1636	188.9701
98	163.8964	175.3335
99	48.8924	92.2227
100	181.2492	189.6488
101	163.7128	154.7049
102	136.698	165.4251
103	181.384	214.2436
104	39.6392	15.7694
105	29.3348	38.9604
106	71.5616	132.0637
107	166.7876	149.7458
108	79.126	74.9733
109	37.542	46.5453
110	139.8128	151.6887
111	250.688	219.3058
112	317.5916	336.329
113	77.6412	145.9638
114	102.6728	107.2989
115	178.8148	172.4012
116	236.2028	243.7462
117	76.4384	121.7342
118	188.7752	194.547
119	141.3808	143.3915
120	282.8156	287.197
121	293.3812	301.9706
122	249.7004	236.7306
123	202.8908	239.9835
124	252.74	210.7872
125	16.71	24.7788
126	261.8692	265.2337
127	69.8712	31.3728
128	246.114	252.2449
129	167.8664	186.0779
130	3.538	2.1964
131	79.18	62.2305
132	68.174	51.9483
133	206.9748	158.9684
134	104.7364	77.1249
135	313.9956	264.4087
136	165.0988	102.4556
137	268.1056	296.9821
138	119.3272	176.873
139	54.3996	20.9925
140	116.9584	73.7579
141	138.034	123.5676
142	196.6816	210.1038
143	97.6052	92.021
144	170.7204	179.8482
145	168.4952	179.3774
146	316.288	346.2627
147	181.5848	181.7605
148	4.488	2.2555
149	221.706	210.5691
150	209.384	254.5794
151	160.1356	172.0987
152	1.4464	2.9746
153	3.1668	2.2989
154	161.6088	263.0306
155	87.4928	77.9649
156	182.9872	154.2027
157	221.3852	215.0654
158	175.6224	166.9669
159	97.2084	73.6136
160	140.4308	176.1101
161	65.7432	62.2448
162	222.2408	234.5779
163	168.0316	227.5164
164	38.6872	43.9159
165	477.1968	437.0048
166	54.692	59.6761
167	243.862	239.9835
168	291.4424	291.2334
169	191.506	130.1871
170	93.5404	83.4874
171	149.6884	128.807
172	143.0232	142.8315
173	333.1992	332.0136
174	3.6736	2.9905
175	177.1136	390.2431
176	252.4716	339.7581
177	263.5316	249.975
178	190.5676	214.1887
179	76.3148	78.9581
180	7.5096	11.0164
181	39.8564	40.9754
182	28.544	18.9325
183	238.3848	195.9366
184	52.7144	54.9131
185	356.0036	341.6621
186	198.8372	248.9723
187	120.478	122.3388
188	117.754	112.1657
189	186.9716	214.7751
190	246.136	211.8958
191	147.7652	135.1453
192	250.3852	217.1478
193	253.8996	265.868
194	340.9772	356.6581
195	331.2988	324.8752
196	158.1808	155.5272
197	301.4336	276.5738
198	285.5632	291.4813
199	451.954	406.4139
200	101.5044	124.1961
201	61.1992	68.7502
202	172.5036	183.2969
203	12.4036	2.4861
204	173.978	369.4127
205	273.2348	304.1896
206	100.3432	144.8069
207	282.0812	249.8403
208	204.1776	194.6191
209	206.9364	267.0452
210	127.07	126.2539
211	227.3164	220.8594
212	170.98	166.4285
213	148.4584	151.0582
214	205.0308	225.4298
215	28.1884	49.8484
216	57.8732	76.3547
217	163.92	160.0273
218	47.2296	42.4146
219	423.198	365.1241
220	156.2236	171.1686
221	232.7244	224.9686
222	225.798	212.4093
223	281.0148	275.9748
224	216.0212	174.0223
225	180.2996	164.5622
226	102.3928	128.1516
227	129.452	124.6783
228	73.966	166.3974
229	221.116	283.5455
230	168.6788	203.9505
231	499.4448	447.0127
232	162.6116	126.7922
233	51.7252	47.2015
234	286.952	306.5873
235	84.1248	73.4853
236	74.0232	127.9461
237	113.1396	96.7581
238	43.2572	56.1189
239	193.754	234.7903
240	108.472	109.5987
241	184.022	181.4413
242	102.396	92.1502
243	277.978	294.1304
244	186.8556	194.9088
245	213.324	273.7795
246	172.7484	202.3728
247	149.7192	96.3456
248	15.254	24.4296
249	231.4792	231.1684
250	190.6088	187.9389
251	196.1628	229.2388
252	135.1488	156.6545
253	196.7052	214.8717
254	129.3844	150.042
255	18.4708	25.2886
256	88.6132	62.3109
257	253.9876	232.2478
258	213.1528	158.9684
259	190.8496	154.1835
260	78.7912	77.9466
261	294.9588	323.484
262	269.204	258.9556
263	176.4692	188.9701
264	341.7112	294.6213
265	108.1864	141.8063
266	96.5996	76.1457
267	463.94	447.9108
268	275.4324	275.9027
269	150.3344	116.0287
270	213.0528	230.9816
271	281.8288	363.1158
272	127.4172	136.2062
273	242.606	233.2122
274	174.17	184.014
275	175.0808	239.3312
276	47.7808	58.5067
277	214.2492	215.1585
278	38.2936	31.8771
279	185.092	312.3935
280	177.2256	191.9806
281	35.2848	36.4062
282	26.3204	35.3675
283	337.3308	330.8391
284	549.5672	508.2688
285	107.0424	72.3636
286	387.07	526.6111
287	175.3896	180.121
288	112.0864	112.8917
289	27.904	13.5192
290	244.2232	286.7473
291	191.528	233.8401
292	231.8844	246.9288
293	126.6596	129.1137
294	247.2996	243.7635
295	297.1184	313.3285
296	198.5792	170.0485
297	321.264	310.1948
298	150.8208	140.2279
299	286.3532	307.8613
300	80.9464	100.3721
301	221.0228	211.3373
302	143.822	124.659
303	132.0556	136.1184
304	255.1796	268.9058
305	195.0444	217.7954
306	113.0444	143.7931
307	99.5576	89.6204
308	283.0808	286.4121
309	192.6396	227.5943
310	114.9624	100.7927
311	9.1072	10.3219
312	121.0892	248.5914
313	144.9236	144.9682
314	278.2928	351.8943
315	13.3916	10.3126
316	156.526	132.6916
317	106.5844	151.2231
318	21.4132	30.8735
319	217.6868	214.2436
320	207.3084	178.6506
321	206.1548	203.9793
322	104.4052	103.5708
323	71.3316	58.4786
324	49.2108	48.6362
325	4.7656	2.1353
326	322.2808	342.8477
327	197.3928	246.7676
328	367.4184	364.2429
329	76.6756	74.3206
330	218.0336	331.9009
331	106.2444	133.7181
332	291.128	375.576
333	344.2944	364.0
334	74.2836	63.424
335	211.7404	225.9044
336	45.8376	32.8718
337	199.1056	221.7594
338	113.4764	106.5898
339	158.7624	116.5695
340	212.1628	204.7115
341	193.664	239.4014
342	159.4708	168.7538
343	272.3304	302.0907
344	222.52	209.8293
345	148.7556	213.6876
346	94.5936	75.3434
347	323.7564	298.6678
348	389.6324	418.9769
349	199.088	211.4301
350	100.7448	82.6951
351	215.0968	206.4429
352	4.0984	19.3019
353	137.2888	133.4628
354	139.744	188.9549
355	240.8528	232.8867
356	61.2164	102.7978
357	203.3316	176.2151
358	69.2956	63.5051
359	5.4892	16.7756
360	158.7336	148.7853
361	120.214	72.2032
362	457.594	442.471
363	179.1144	199.9872
364	185.2696	378.374
365	329.1032	405.2263
366	166.3392	168.116
367	69.6568	122.3556
368	275.4628	285.2218
369	168.7532	94.2165
370	12.2372	16.1628
371	267.0176	199.2056
372	204.9044	191.3094
373	59.33	56.761
374	237.5696	255.5432
375	123.6604	120.9644
376	46.57	120.9913
377	119.974	101.8567
378	247.1736	261.68
379	192.1692	151.1765
380	384.8268	385.5332
381	244.0992	252.803
382	0.6556	2.7704
383	345.3844	370.9442
384	113.0596	87.4519
385	177.782	189.8986
386	165.3136	179.159
387	222.1536	236.938
388	369.8904	343.443
