	Predicted	Observed
0	50.7836	48.388
1	19.0356	24.4296
2	169.6636	158.5318
3	8.3304	10.3126
4	276.9492	268.4415
5	170.9964	149.7458
6	86.2004	74.3206
7	26.2108	17.9017
8	157.7844	164.5622
9	347.0976	333.1446
10	227.6272	214.2436
11	108.3876	111.8214
12	110.37	76.1457
13	37.6848	27.0018
14	193.5132	172.0987
15	295.8852	249.8403
16	135.2988	124.659
17	1.5128	1.7266
18	115.0176	46.0302
19	43.53	19.3019
20	275.6548	253.4161
21	244.3992	210.5691
22	358.2412	329.6836
23	141.4024	123.5676
24	119.372	99.5504
25	161.8948	143.3954
26	345.6264	294.6213
27	136.6444	120.9913
28	225.4408	205.9892
29	206.6276	179.3774
30	225.4876	283.5455
31	204.4624	207.3832
32	283.154	302.9804
33	133.6152	102.4556
34	174.4856	147.6698
35	0.1836	2.9893
36	1.0464	2.7704
37	230.8304	217.0135
38	230.878	209.8891
39	147.6612	120.9644
40	231.324	189.6439
41	157.8776	156.6545
42	153.46	144.0065
43	243.1692	234.5779
44	120.3364	147.946
45	188.3672	195.9579
46	467.7316	508.781
47	327.028	298.7782
48	292.1432	231.1684
49	217.0572	233.8401
50	262.7572	232.5852
51	36.682	32.9992
52	154.8612	151.1765
53	380.61	324.8752
54	206.9164	215.0523
55	281.9192	265.2337
56	153.1632	256.2849
57	275.8504	285.2218
58	272.6476	337.4087
59	185.2	183.2969
60	48.2192	64.8582
61	18.1332	17.2288
62	74.2592	44.6225
63	221.158	194.4276
64	194.1132	158.8448
65	322.8108	327.5573
66	175.4868	130.1871
67	104.6072	103.5708
68	205.27	176.6971
69	382.0052	406.3199
70	301.9748	307.8613
71	466.2664	447.9108
72	188.3736	190.8521
73	171.8016	187.3255
74	191.4228	153.5542
75	246.6788	206.9501
76	145.7436	133.7181
77	279.3532	255.5432
78	138.1044	119.3353
79	316.0268	370.4347
80	275.6164	260.647
81	269.0152	265.035
82	199.094	197.8923
83	319.9508	336.329
84	87.6796	92.0682
85	219.9472	225.6809
86	143.3	125.7593
87	48.9532	52.4811
88	207.0128	204.9703
89	156.2636	120.9989
90	117.5156	96.547
91	164.96	136.7067
92	376.524	418.9769
93	236.8948	261.68
