	Predicted	Observed
0	277.5998	319.9609
1	249.2188	108.5109
2	264.9493	249.975
3	371.1233	77.1249
4	228.3465	74.9733
5	318.8321	120.9644
6	247.8937	304.1896
7	263.5145	19.7459
8	249.3851	292.9682
9	229.9358	89.6204
10	287.0528	179.4283
11	193.7557	2.1226
12	260.7391	330.8391
13	252.8679	70.872
14	283.4733	2.2555
15	254.4254	471.7867
16	270.6984	336.329
17	249.0563	283.5455
18	227.2985	169.1551
19	210.6611	231.8588
20	252.9503	207.3153
21	221.7884	123.5676
22	292.1254	51.9483
23	310.3412	203.9793
24	234.2701	351.8943
25	260.3655	323.484
26	254.547	151.0582
27	375.1775	92.2227
28	245.1875	224.9686
29	229.6058	202.3728
30	251.4949	122.3388
31	270.5275	83.806
32	273.2196	331.9009
33	282.2665	160.9586
34	293.3411	211.3373
35	231.0978	117.9755
36	239.6127	141.4101
37	289.8203	215.1585
38	334.52	239.9835
39	217.7372	232.5852
40	271.9632	82.9684
41	195.0963	239.4014
42	274.2612	48.0639
43	256.4036	264.4087
44	225.5217	214.2436
45	208.5419	201.2804
46	237.2759	9.228
47	228.6299	17.9017
48	265.4108	405.2263
49	246.3578	84.7955
50	283.011	294.5656
51	240.1405	248.5914
52	233.2224	147.6698
53	250.5529	100.9027
54	215.786	184.014
55	239.2946	265.035
56	315.6436	329.6836
57	247.1597	102.4556
58	245.5711	176.1101
59	238.779	160.0976
60	275.1673	446.7962
61	276.4165	72.2032
62	389.2467	168.916
63	290.6747	406.3199
64	259.2261	276.0897
65	284.547	77.9466
66	294.5926	210.7872
67	233.3921	253.3399
68	296.6046	62.3109
69	249.6656	13.7433
70	248.0385	15.9807
71	303.6767	355.9971
72	209.111	31.8771
73	235.4393	112.1168
74	270.7552	185.9709
75	214.2429	233.6933
76	231.4441	116.5695
77	227.3299	14.9968
78	253.0606	187.5575
79	281.3726	252.803
80	307.5355	526.6111
81	274.2827	227.0371
82	272.5562	178.1112
83	242.5926	413.3018
84	277.7732	212.6906
85	285.8048	216.877
86	274.2858	187.1002
87	232.8122	250.9709
88	264.6423	351.5723
89	228.6351	144.9682
90	327.9412	164.2073
91	199.8995	205.9892
92	279.2976	260.647
93	209.5154	1.9616
94	212.9416	211.5602
95	263.6861	53.2997
96	301.3471	204.9703
97	300.9416	166.8214
98	272.7957	209.8891
99	254.1254	498.6014
100	246.0845	163.1737
101	266.3115	64.8582
102	234.5044	239.6884
103	350.0585	285.2218
104	224.699	85.9989
105	254.9816	16.7756
106	316.2118	248.9723
107	323.9934	255.5432
108	277.7554	265.6017
109	243.1593	121.8048
110	235.3499	130.1509
111	258.4922	56.1189
112	346.3373	132.0637
113	309.2929	258.4514
114	257.0244	267.6824
115	207.9292	170.0485
116	276.1744	225.6809
117	278.1236	390.8087
118	208.4632	9.8524
119	236.5753	43.9159
