Predicted,Picture,GrainCount
766.094,90652,2164
718.0508,90830,2164
1062.4112,91143,3138
1076.3204,91241,3138
1005.2548,91418,2929
933.5164,91437,2929
1001.1304,91546,2809
982.9248,91623,2809
933.2028,91725,2839
846.51,91750,2839
615.3168000000001,91951,1987
601.9964,92006,1987
722.4100000000001,92104,2482
747.7288,92144,2482
673.0616,92257,2612
695.3308,92315,2612
731.4112,92421,3415
689.922,92435,3415
718.3944,92526,2502
630.4456,92556,2502
855.4532,92844,2324
864.4984,92856,2324
938.832,92950,2566
1003.8252,93013,2566
930.3876,93120,2932
913.0663999999999,93134,2932
852.5388,93234,2325
862.3176,93254,2325
892.2712,93355,2987
858.854,93416,2987
860.676,93544,2334
805.7339999999999,93556,2334
634.4531999999999,93647,1389
566.3499999999999,93707,1389
941.6859999999999,93809,3024
890.9768,93827,3024
814.1496,93934,2370
837.7472,93959,2370
1039.296,94055,1864
794.0976,94111,1864
789.0436,94319,2241
697.004,94338,2241
1089.2964,94353,3494
870.8996,94416,3494
858.4852,94827,1768
715.9664,94843,1768
716.6032,94941,2263
895.2736,94953,2263
431.0192,95053,1630
579.5996,95106,1630
691.4416,95156,3239
800.1524000000001,95206,3239
781.5924,95258,2882
819.6912,95313,2882
871.5756,95355,2458
897.3692,95405,2458
960.64,95457,3184
1007.8471999999999,95505,3184
864.5412,95557,1984
770.7584,95626,1984
897.8584,100015,3014
875.9812000000001,100039,3014
611.9484,100152,1783
692.1356,100203,1783
658.1828,100259,1931
641.0676,100312,1931
894.9867999999999,100410,3216
883.1436,100426,3216
951.5504000000001,100505,3284
971.2475999999999,100516,3284
855.6236,100814,3497
712.0264,100831,3497
681.7452,100937,2273
657.4504,100950,2273
751.9712,101252,1827
695.4032,101303,1827
843.3592,101354,2848
825.8144,101403,2848
461.01559999999995,101441,984
405.9224,101453,984
534.7416000000001,101642,1542
620.2944,101702,1542
755.744,101756,2537
906.3616,101814,2537
946.7239999999999,101855,2390
1025.3816,101903,2390
631.3396,101945,1869
636.4328,102001,1869
635.498,102059,1447
727.8328,102111,1447
933.0896,102237,2563
841.954,102253,2563
784.0612,102326,2527
847.1904,102338,2527
626.4656,102412,1649
732.6164,102428,1649
686.9843999999999,102506,2327
688.9772,102518,2327
741.2484,102612,2200
763.0988,102623,2200
502.7288,102901,845
467.87,102912,845
872.6752,103004,2481
784.4232,103017,2481
679.1492,103058,2350
672.608,103111,2350
777.016,103201,2218
782.8684000000001,103217,2218
869.5328,103305,2233
813.4628,103330,2233
867.2468,103521,3593
808.3592000000001,103534,3593
747.1659999999999,103614,2614
817.3488,103625,2614
683.8288,103702,3441
802.2956,103712,3441
752.3235999999999,103749,2463
755.3452,103759,2463
900.2216000000001,103830,3627
906.1428000000001,103842,3627
722.4192,104138,3261
587.6788,104151,3261
618.8556,104239,1696
659.6687999999999,104254,1696
533.7744,104338,1820
577.88,104351,1820
709.5548,104446,3120
594.1248,104500,3120
565.4888000000001,104541,2111
598.7031999999999,104553,2111
628.168,104723,1917
647.5384,104732,1917
642.2948,104830,1383
679.412,104840,1383
653.5144,104915,1631
614.3848,104924,1631
680.45,105004,2661
687.682,105013,2661
577.2924,105047,1479
692.5512,105101,1479
756.2124,105328,2078
778.1924,105348,2078
590.65,105430,2203
691.0988,105438,2203
822.3076,105508,2299
801.7860000000001,105517,2299
742.8052,105552,2081
786.6508,105604,2081
757.816,105641,1870
750.7512,105652,1870
906.0692,105801,2975
839.4348,105815,2975
438.5004,105859,1110
480.05080000000004,105917,1110
719.722,110011,2123
728.402,110027,2123
896.7912,110126,2647
897.3435999999999,110142,2647
571.9968,110217,1198
570.7796,110234,1198
525.8736,110414,2221
784.9844,110426,2221
786.9348,110503,1583
824.6204,110511,1583
477.8796,110552,1158
502.5644,110601,1158
717.1304,110634,1516
569.4712000000001,110647,1516
582.5092,110734,3019
809.8396,110744,3019
463.19759999999997,110857,4156
770.5636,110909,4156
743.1584,110942,2760
867.7792000000001,110954,2760
642.1967999999999,111026,2203
746.3463999999999,111040,2203
996.0472,111113,3666
907.0532000000001,111122,3666
760.8332,111207,4085
1035.8076,111219,4085
420.48879999999997,111420,672
343.2192,111429,672
771.5455999999999,111507,2160
753.8824,111518,2160
776.2616,111601,2498
781.8836,111610,2498
709.8032,111640,2342
732.5016,111650,2342
768.5824,111732,2826
789.5888,111742,2826
698.4224,111854,2406
560.2968,111914,2406
640.5968,111948,1526
728.7312,111958,1526
702.208,112033,2171
737.0472,112042,2171
683.8696,112116,1562
556.2264,112128,1562
