Predicted	Picture	GrainCount
857.0944000000001	90652	2164
819.6608	90830	2164
1083.8912	91143	3138
1162.7648	91241	3138
1156.4032	91418	2929
1008.5952	91437	2929
1105.4656	91546	2809
992.6016	91623	2809
1040.96	91725	2839
953.6768	91750	2839
650.24	91951	1987
609.6064	92006	1987
710.8992	92104	2482
737.7280000000001	92144	2482
747.5712	92257	2612
713.9136	92315	2612
788.9472	92421	3415
756.5696	92435	3415
810.0416	92526	2502
690.1568	92556	2502
976.9152	92844	2324
936.512	92856	2324
1025.7088	92950	2566
1052.0320000000002	93013	2566
943.7376	93120	2932
947.9680000000001	93134	2932
904.3456	93234	2325
941.728	93254	2325
923.1104	93355	2987
968.3263999999999	93416	2987
929.1712	93544	2334
875.488	93556	2334
620.288	93647	1389
540.1792	93707	1389
1027.5648	93809	3024
1031.8016	93827	3024
872.3136	93934	2370
877.5871999999999	93959	2370
1216.9792	94055	1864
700.3264	94111	1864
781.7472	94319	2241
658.4128000000001	94338	2241
1208.8319999999999	94353	3494
977.4848	94416	3494
842.3552	94827	1768
636.6528000000001	94843	1768
706.9567999999999	94941	2263
882.4768	94953	2263
418.976	95053	1630
587.6607999999999	95106	1630
797.3184	95156	3239
831.6351999999999	95206	3239
840.992	95258	2882
858.8032	95313	2882
891.1296	95355	2458
844.4032	95405	2458
1084.2368000000001	95457	3184
978.0032	95505	3184
948.6144	95557	1984
790.5856	95626	1984
860.512	100015	3014
869.0112	100039	3014
539.8656000000001	100152	1783
559.2064	100203	1783
670.8224	100259	1931
739.5456	100312	1931
880.0511999999999	100410	3216
979.072	100426	3216
905.1904	100505	3284
1093.1456	100516	3284
940.0	100814	3497
723.2256	100831	3497
664.6976	100937	2273
714.8416	100950	2273
768.1216	101252	1827
660.0895999999999	101303	1827
967.3216	101354	2848
832.192	101403	2848
371.0976	101441	984
363.74399999999997	101453	984
564.352	101642	1542
560.3712	101702	1542
794.0416	101756	2537
965.6896	101814	2537
1027.0464	101855	2390
993.4464	101903	2390
714.5663999999999	101945	1869
737.6512	102001	1869
638.88	102059	1447
675.9552	102111	1447
968.0768	102237	2563
886.6688	102253	2563
788.9344	102326	2527
765.9071999999999	102338	2527
575.1552	102412	1649
668.544	102428	1649
696.96	102506	2327
688.7104	102518	2327
682.9312	102612	2200
712.0448	102623	2200
411.1488	102901	845
307.9168	102912	845
830.5856	103004	2481
771.1744	103017	2481
645.9264000000001	103058	2350
687.2064	103111	2350
821.4208	103201	2218
790.0287999999999	103217	2218
775.2896000000001	103305	2233
772.384	103330	2233
954.9952	103521	3593
844.6912	103534	3593
761.6512	103614	2614
761.2288	103625	2614
805.7408	103702	3441
821.472	103712	3441
912.4736	103749	2463
783.9295999999999	103759	2463
970.2336	103830	3627
1065.9136	103842	3627
728.3008	104138	3261
454.6944	104151	3261
671.6351999999999	104239	1696
551.808	104254	1696
539.4431999999999	104338	1820
506.4512	104351	1820
745.7855999999999	104446	3120
623.5072	104500	3120
459.53920000000005	104541	2111
561.3056	104553	2111
621.7024	104723	1917
573.9327999999999	104732	1917
517.792	104830	1383
596.2496	104840	1383
564.6464000000001	104915	1631
646.944	104924	1631
668.096	105004	2661
642.0736	105013	2661
585.0752	105047	1479
576.4159999999999	105101	1479
720.9087999999999	105328	2078
831.1424000000001	105348	2078
494.7264	105430	2203
668.3776	105438	2203
803.8015999999999	105508	2299
804.2432	105517	2299
787.2704	105552	2081
716.9984	105604	2081
711.9616	105641	1870
682.368	105652	1870
920.4992	105801	2975
848.1024	105815	2975
382.2464	105859	1110
389.8752	105917	1110
671.9808	110011	2123
666.7968	110027	2123
903.6672000000001	110126	2647
871.4496	110142	2647
489.01120000000003	110217	1198
518.2016	110234	1198
621.9584	110414	2221
859.52	110426	2221
815.0591999999999	110503	1583
821.9328	110511	1583
575.2959999999999	110552	1158
544.6464	110601	1158
640.7872	110634	1516
605.9968	110647	1516
651.3792	110734	3019
868.5439999999999	110744	3019
605.2736	110857	4156
897.0432000000001	110909	4156
790.6048000000001	110942	2760
886.304	110954	2760
723.2896	111026	2203
716.224	111040	2203
1134.8928	111113	3666
960.352	111122	3666
846.4896	111207	4085
1085.0816	111219	4085
390.9056	111420	672
207.9168	111429	672
792.3327999999999	111507	2160
678.5536000000001	111518	2160
760.0255999999999	111601	2498
760.2239999999999	111610	2498
724.8192	111640	2342
688.4096	111650	2342
760.9408000000001	111732	2826
802.2464	111742	2826
736.8064	111854	2406
516.384	111914	2406
622.016	111948	1526
694.3040000000001	111958	1526
773.8816	112023	2171
676.2304	112042	2171
616.6784	112116	1562
548.8192	112128	1562
