Predicted,Picture,GrainCount
948.1041,90652,2164
878.831,90830,2164
1148.4033,91143,3138
1226.9565,91241,3138
1108.0899,91418,2929
1032.7819,91437,2929
1099.7998,91546,2809
1032.8202,91623,2809
1067.8116,91725,2839
980.6023,91750,2839
643.0604,91951,1987
592.5328,92006,1987
735.1315999999999,92104,2482
754.2316999999999,92144,2482
724.0353,92257,2612
685.0572,92315,2612
838.015,92421,3415
792.3503,92435,3415
771.9952000000001,92526,2502
701.9508000000001,92556,2502
932.2293,92844,2324
970.6175000000001,92856,2324
1096.2339,92950,2566
1126.1544,93013,2566
957.6472,93120,2932
947.9913,93134,2932
977.0659,93234,2325
1007.669,93254,2325
887.9692,93355,2987
982.0545,93416,2987
936.0218,93544,2334
909.6055000000001,93556,2334
646.0433,93647,1389
580.4475,93707,1389
994.5831000000001,93809,3024
998.3099,93827,3024
852.0921000000001,93934,2370
903.0756,93959,2370
1161.0817,94055,1864
822.1979,94111,1864
834.3169,94319,2241
721.2161,94338,2241
1188.738,94353,3494
993.4558999999999,94416,3494
849.9371,94827,1768
640.5045,94843,1768
780.0591999999999,94941,2263
903.6455,94953,2263
483.3619,95053,1630
594.1786,95106,1630
792.3482,95156,3239
781.4806,95206,3239
821.0378000000001,95258,2882
838.3664,95313,2882
900.6355,95355,2458
855.3378,95405,2458
1040.4608,95457,3184
982.2068,95505,3184
927.0328,95557,1984
759.9233,95626,1984
914.7992,100015,3014
921.4495999999999,100039,3014
640.2785,100152,1783
610.5115999999999,100203,1783
688.1775,100259,1931
699.0349,100312,1931
900.1044,100410,3216
925.6252999999999,100426,3216
932.5308,100505,3284
1016.6593,100516,3284
974.3344999999999,100814,3497
769.2636,100831,3497
718.0776999999999,100937,2273
733.2768,100950,2273
831.28,101252,1827
678.9366,101303,1827
972.636,101354,2848
800.9973,101403,2848
408.16769999999997,101441,984
392.8045,101453,984
592.4793999999999,101642,1542
630.3496,101702,1542
789.4746,101756,2537
968.6521,101814,2537
1112.8576,101855,2390
1020.8294000000001,101903,2390
712.6505999999999,101945,1869
751.4691,102001,1869
738.0812000000001,102059,1447
689.5462,102111,1447
982.3678,102237,2563
847.1138,102253,2563
776.5189,102326,2527
797.6874,102338,2527
619.1466,102412,1649
690.5674,102428,1649
738.2156,102506,2327
682.3235,102518,2327
691.8463,102612,2200
695.3795,102623,2200
456.8152,102901,845
310.57669999999996,102912,845
864.2508,103004,2481
777.5129999999999,103017,2481
653.9195,103058,2350
670.8132,103111,2350
777.7691,103201,2218
771.0501,103217,2218
798.7655,103305,2233
831.7802999999999,103330,2233
989.7979,103521,3593
804.4381,103534,3593
775.2544,103614,2614
775.3847999999999,103625,2614
842.4446,103702,3441
828.4454000000001,103712,3441
891.1526,103749,2463
754.583,103759,2463
948.6415,103830,3627
997.2558,103842,3627
737.4531999999999,104138,3261
539.1354,104151,3261
680.9861,104239,1696
606.3246999999999,104254,1696
583.5179,104338,1820
574.6365,104351,1820
756.2960999999999,104446,3120
623.6465000000001,104500,3120
513.3378,104541,2111
589.4828,104553,2111
618.4818,104723,1917
603.9274,104732,1917
574.8287,104830,1383
630.0459,104840,1383
634.3421,104915,1631
642.7126,104924,1631
707.1918999999999,105004,2661
662.2898,105013,2661
597.4022,105047,1479
611.1147000000001,105101,1479
747.2036,105328,2078
802.6277,105348,2078
574.7694,105430,2203
685.0446,105438,2203
816.0962,105508,2299
821.6842,105517,2299
778.128,105552,2081
725.9158,105604,2081
697.6102,105641,1870
708.5526,105652,1870
865.3489000000001,105801,2975
834.4771999999999,105815,2975
433.91839999999996,105859,1110
432.2151,105917,1110
651.6641999999999,110011,2123
657.5322,110027,2123
880.8622,110126,2647
866.0602,110142,2647
477.7017,110217,1198
508.8518,110234,1198
628.0742,110414,2221
828.0593,110426,2221
868.233,110503,1583
834.9988999999999,110511,1583
566.8132,110552,1158
562.9366,110601,1158
663.2438999999999,110634,1516
611.2284999999999,110647,1516
650.1852,110734,3019
916.9328,110744,3019
626.3195000000001,110857,4156
864.4719,110909,4156
818.4930999999999,110942,2760
861.701,110954,2760
769.0639,111026,2203
735.121,111040,2203
1118.7677999999999,111113,3666
924.7853,111122,3666
862.1003,111207,4085
1027.8607,111219,4085
431.2143,111420,672
247.8338,111429,672
842.5068,111507,2160
694.0294,111518,2160
796.4627,111601,2498
754.6333,111610,2498
757.7875,111640,2342
696.6768,111650,2342
723.6987,111732,2826
732.3542,111742,2826
735.639,111854,2406
548.5135,111914,2406
622.5983,111948,1526
679.2237,111958,1526
772.9695,112023,2171
722.2270000000001,112042,2171
630.1695,112116,1562
565.687,112128,1562
