	Predicted	Observed
0	182.0218	35.3687
1	224.2717	236.7306
2	130.9972	256.2849
3	442.701	447.0127
4	221.9774	292.9682
5	219.5748	75.3434
6	172.0324	184.014
7	87.423	126.0078
8	146.3335	77.9649
9	204.3551	239.9835
10	199.5331	129.1137
11	173.2897	109.4607
12	148.7195	239.3312
13	129.3749	16.3258
14	358.503	375.576
15	190.2148	212.4093
16	81.907	16.1882
17	227.9972	135.1453
18	193.006	179.3774
19	199.5337	209.9684
20	86.1701	63.2376
21	396.3426	442.471
22	170.3557	227.5943
23	188.8829	206.0334
24	162.4234	140.9378
25	180.3141	147.946
26	79.2606	59.9797
27	155.3609	133.7181
28	229.9865	265.6017
29	137.135	228.1226
30	212.0413	178.6506
31	196.1127	189.6439
32	102.9382	131.0501
33	53.6277	1.9616
34	121.7286	127.3721
35	326.9668	276.5738
36	318.9717	278.1701
37	169.5369	223.5663
38	242.2152	307.8613
39	195.3589	48.388
40	220.4679	167.5287
41	356.5746	340.9835
42	299.1623	296.9821
43	171.0093	163.1737
44	195.0461	191.3317
45	91.4755	16.1628
46	88.159	2.7704
47	297.8668	312.3935
48	119.5244	58.4786
49	152.5202	119.3353
50	189.0025	214.2436
51	213.3153	190.8521
52	175.6921	238.1947
53	154.3686	200.6576
54	175.759	132.0637
55	378.6841	498.6014
56	124.0122	133.4628
57	121.412	112.1168
58	183.9526	2.6473
59	158.1902	108.351
60	95.7527	20.6798
61	167.1383	100.9027
62	294.3929	268.4415
63	147.2531	110.7088
64	231.6408	215.1585
65	197.5606	211.8894
66	279.2276	344.9784
67	110.0502	36.4062
68	133.1441	25.2886
69	124.5881	89.6204
70	150.4302	120.9644
71	275.1967	331.7102
72	176.83	155.5272
73	135.7102	132.0598
74	253.3703	265.035
75	102.148	111.8214
76	182.0013	156.3607
77	287.348	327.5573
78	174.9896	362.0147
79	200.7319	220.8594
80	119.386	19.3019
81	92.5968	74.3206
82	130.6085	133.5887
83	164.6096	154.0159
84	82.4109	52.6734
85	142.6949	181.7605
86	154.5116	80.0273
87	272.3583	265.2337
88	263.3521	339.7581
89	193.297	183.2969
90	158.8153	283.5455
91	247.0381	225.0358
92	137.7655	187.3255
93	260.4789	275.9748
94	161.4068	219.2809
95	200.3452	413.3018
96	266.7279	273.5577
97	178.249	124.659
98	216.2936	214.4452
99	237.6967	352.6535
100	167.9428	157.86
101	157.0924	46.5191
102	298.4028	365.6855
103	329.5617	312.8938
104	46.1354	1.6863
105	137.9464	35.3675
106	147.938	99.6717
107	271.2021	319.9609
108	160.2437	132.7075
109	181.8783	179.4283
110	203.5708	183.1173
111	210.5525	272.7273
112	310.3136	314.5123
113	88.186	13.5192
114	169.5406	229.2388
115	118.7219	112.2238
116	185.1387	217.7954
117	190.6646	178.816
118	122.3552	76.3547
119	197.8285	248.5914
120	332.9701	390.8087
121	156.1663	158.9684
122	277.4717	223.8488
123	146.5137	133.609
124	400.5361	456.4103
125	182.8926	217.8585
126	216.1232	210.5691
127	101.039	32.1305
128	229.3127	216.877
129	185.2894	96.547
130	196.3397	194.9088
131	159.441	153.5542
132	170.7655	197.8923
133	357.7091	379.9341
134	103.4098	124.1961
135	133.2755	117.9755
136	229.319	261.68
137	110.2976	77.1035
138	152.5858	120.9654
139	279.3212	232.2478
140	122.8943	92.1502
141	180.7677	202.3728
142	273.671	364.0
143	184.4038	331.9009
144	216.0854	116.417
145	205.9652	319.832
146	91.6802	17.2288
147	153.2632	125.7593
148	155.7253	83.4874
149	210.4622	170.0485
150	150.1922	168.116
151	124.0438	126.2539
152	105.619	53.2997
153	257.0713	239.9835
154	208.6911	337.1064
155	240.8745	313.3285
156	201.107	234.1165
157	250.3061	255.5432
158	171.4493	214.8717
159	135.0628	2.3409
160	67.7451	9.8861
161	150.8395	92.0682
162	254.3709	268.9058
163	207.9474	249.975
164	150.5672	76.1457
165	288.6273	310.1948
166	205.7434	191.0348
167	277.2764	351.8943
168	153.1104	159.4762
169	489.4799	508.2688
170	305.642	336.3601
171	223.9729	249.975
172	204.0787	177.7565
173	205.5306	160.004
174	109.589	122.3556
175	176.8488	89.0293
176	326.1816	323.5822
177	118.3847	95.9919
178	332.9752	355.3039
179	121.4665	2.2555
180	230.6973	156.0002
181	189.2177	213.1681
182	252.8463	323.484
183	207.6939	222.7642
184	202.8642	188.3322
185	207.7343	183.9858
186	183.4723	211.4301
187	223.4023	67.2941
188	131.1435	108.5109
189	100.8585	63.5051
190	170.1164	390.2431
191	139.8663	131.4051
192	201.9579	187.5575
193	161.9221	188.9701
194	82.0068	15.0873
195	157.7425	168.7538
196	307.957	270.5028
197	132.0521	153.3387
198	214.9366	195.1139
199	110.2088	140.2279
200	304.9617	313.8711
201	205.6656	222.5811
202	237.0144	363.1158
203	192.4258	181.4413
204	166.1016	185.2213
205	134.1181	101.8567
206	373.1455	471.7867
207	295.8071	262.5545
208	260.7007	343.8123
209	302.9009	258.4514
210	218.3812	179.4515
211	166.0215	225.7424
212	208.6953	73.4024
213	147.085	1.6751
214	141.4381	144.078
215	272.9077	285.749
216	155.697	152.0916
217	133.0808	74.9249
218	143.1482	19.7459
219	98.8945	58.399
220	99.8619	16.1652
221	111.7412	84.7955
222	285.0741	258.9556
223	312.4698	337.6256
224	187.2947	168.1543
225	196.6098	92.2856
226	209.1235	190.3208
227	385.6568	448.4082
228	145.6298	147.6698
229	101.2669	59.6761
230	410.5371	526.6111
231	159.4859	188.9701
232	360.9692	427.8195
233	134.0093	65.4498
234	115.7087	127.9461
235	188.119	130.1871
236	128.3426	96.7581
237	144.0262	83.806
238	206.145	126.7922
239	149.1596	188.9549
240	214.6359	213.6876
241	156.5471	43.9159
242	389.4854	497.4253
243	332.612	418.9769
244	150.3427	156.6545
245	175.5237	203.9793
246	256.4001	168.6267
247	120.006	112.1657
248	137.6295	172.9319
249	175.5291	204.151
250	193.5394	204.9703
251	114.371	20.9925
252	186.8188	145.9638
253	149.0993	106.5898
254	310.0525	309.1426
255	145.0257	109.5987
256	150.7709	149.7458
257	110.4143	48.7846
258	196.2155	143.3915
259	142.1201	36.2862
260	175.5393	195.9579
261	182.2882	194.547
262	230.7557	304.1896
263	238.8885	231.1684
264	139.0672	100.3721
265	217.9927	189.6488
266	264.7531	286.4121
267	144.3742	18.9325
268	254.2724	252.803
269	354.1454	370.4347
270	102.8814	34.3349
271	124.599	51.9598
272	162.546	24.7788
273	219.967	243.7462
274	111.7641	68.7502
275	147.9907	120.9644
276	181.9698	120.9913
277	167.6467	179.8482
278	332.1948	404.907
279	408.0863	508.781
280	293.7746	267.6824
281	101.9893	20.7824
282	112.0356	233.6933
283	137.2009	143.5306
284	177.741	166.4285
285	98.0586	11.0164
286	154.4353	144.0065
287	237.4036	233.2122
288	199.0364	230.9816
289	138.6128	102.4556
290	96.6882	2.2363
291	165.8633	110.8769
292	135.7938	91.9179
293	209.9287	225.4298
294	210.6469	210.1038
295	57.5881	1.7266
296	257.4334	294.5656
297	371.4927	390.8087
298	140.0215	150.042
299	83.1285	42.4146
300	409.1825	406.3199
301	139.0735	143.1559
302	221.528	199.2056
303	169.1705	214.6185
304	136.787	108.2591
305	192.8083	273.7795
306	101.565	1.705
307	441.7239	437.0048
308	221.0135	191.3094
309	401.2549	329.6836
310	239.1855	226.9084
311	159.013	192.2719
312	219.8544	193.1207
313	194.0224	201.0541
314	302.7698	306.5873
315	190.4617	195.7536
316	131.5602	141.6758
317	154.9193	73.6136
318	145.697	103.5708
319	145.696	148.9688
320	169.5208	164.5622
321	115.0185	44.7844
322	188.9691	154.1835
323	192.9789	232.38
324	101.7784	16.7756
325	259.1616	301.9706
326	135.6629	140.7671
327	168.4482	122.3388
328	237.1713	306.1998
329	187.4458	174.0223
330	156.9921	160.0976
331	255.6078	24.4296
332	258.8596	291.4813
333	315.188	298.6678
334	122.3304	116.8155
335	245.1068	231.8588
336	186.8168	407.8755
337	153.0606	143.7808
338	126.4935	49.8484
339	103.0944	61.6774
340	191.6938	191.9806
341	202.9276	168.916
342	148.8622	77.8685
343	191.9487	172.0987
344	174.9116	215.0523
345	252.8666	239.6884
346	226.9762	204.0289
347	119.0744	32.9992
348	216.9666	159.4854
349	107.5459	2.1964
350	368.6482	352.854
351	171.4445	144.9682
352	256.4902	221.4356
353	196.6047	56.1189
354	56.508	9.0013
355	321.8746	389.2294
356	332.6362	356.6581
357	330.2727	346.8871
358	110.5338	2.0602
359	267.69	264.4087
360	210.2137	178.671
361	291.075	276.0897
362	379.7713	382.912
363	94.1665	13.7433
364	133.0981	23.911
365	68.9243	10.3126
366	210.9237	92.2227
367	216.4337	206.4429
368	224.6915	194.4276
369	184.2699	378.374
370	298.2658	327.4812
371	313.5331	357.0201
372	254.7447	287.197
373	328.5058	386.8991
374	256.2708	237.0702
375	165.5861	158.9684
376	159.9225	112.6373
377	168.732	169.1551
378	239.1421	236.8901
379	259.3343	291.2334
380	91.8423	32.8718
381	220.498	164.2073
382	147.6962	108.0286
383	211.1538	146.2497
384	148.1891	144.8069
385	152.609	154.7494
386	183.493	100.2759
387	194.0176	198.559
388	209.7421	254.5794
389	109.0114	46.3982
390	240.7794	248.9723
391	170.0253	151.2231
392	152.9029	124.6783
393	153.4347	100.7927
394	190.9044	138.0344
395	137.0735	79.664
396	83.3334	9.228
397	140.9784	151.0582
398	167.6016	227.5164
399	226.7947	160.9586
400	148.6637	201.2804
401	172.8495	131.9317
402	250.2777	294.1304
403	143.7285	96.3456
404	194.3481	191.5889
405	180.4583	146.0142
406	266.5341	223.2222
407	80.7353	31.3728
408	110.0611	103.5407
409	383.4441	365.1241
410	169.9972	2.2989
411	205.423	176.6971
412	282.2962	253.4161
413	157.1834	151.1765
414	188.9451	189.8986
415	401.872	447.9108
416	439.0662	500.879
417	206.55	154.7049
418	117.7445	28.8252
419	287.7521	378.1464
420	90.0617	48.6362
421	191.4674	172.4012
422	144.4845	176.1101
423	368.41	405.2263
424	345.0994	349.6653
425	165.1762	78.9581
426	222.1195	187.9389
427	191.2632	196.3465
428	303.0254	232.5852
429	118.269	49.2047
430	214.6614	266.2894
431	218.2654	179.159
432	342.7845	298.786
433	172.7163	142.8315
434	159.7558	48.0639
435	240.497	246.1677
436	195.7528	46.0302
437	169.9334	170.9407
438	92.8573	44.6225
439	176.9017	130.1509
440	84.8697	32.9648
441	67.9435	10.3219
442	187.9188	145.9638
443	217.7186	56.761
444	148.042	141.4101
445	121.8088	70.872
446	180.1163	136.1184
447	237.1747	338.1066
448	246.9749	209.8293
449	357.1626	394.0194
450	214.6165	202.7537
451	150.52	128.807
452	189.0373	225.9044
453	249.5154	286.7473
454	149.7395	131.9787
455	269.6154	332.0136
456	158.162	119.7979
457	216.1232	265.868
458	274.193	351.5723
459	345.823	341.6621
460	149.0062	140.9661
461	186.4209	176.2151
462	133.9923	2.9746
463	234.5679	246.9288
464	246.9122	2.9905
465	298.92	263.7347
466	199.0389	239.4014
467	172.409	116.0287
468	170.3838	166.9669
469	264.1904	254.2552
470	165.6386	214.1887
471	207.8954	209.8891
472	151.9786	62.2305
473	250.8767	178.1112
474	169.6498	225.9044
475	118.3408	112.5146
476	169.8144	143.7931
477	165.7152	158.5318
478	79.9553	9.8524
479	142.2542	139.9749
480	365.557	446.7962
481	103.263	63.424
482	148.299	203.9505
483	207.792	214.9633
484	129.1391	189.671
485	204.8494	209.1927
486	200.7806	221.7594
487	257.6589	244.6264
488	132.2146	85.9989
489	347.0485	276.134
490	210.7331	187.1002
491	280.8511	260.647
492	347.6798	385.5332
493	150.5858	72.3636
494	104.9296	27.0018
495	291.7569	324.0919
496	313.201	346.2627
497	113.2638	81.294
498	145.8103	163.4287
499	168.3659	54.9131
500	258.5455	357.3361
501	132.3537	123.0077
502	244.0404	250.9709
503	121.5047	128.1516
504	199.8769	268.0468
505	111.7234	2.9373
506	234.6749	219.3058
507	114.1295	2.1353
508	144.353	74.5312
509	236.7999	358.5644
510	245.5308	214.7751
511	144.1756	203.9793
512	325.6451	294.6213
513	241.4387	227.0371
514	171.6841	134.6472
515	118.1116	82.6951
516	219.1235	295.7545
517	193.5513	210.7872
518	118.2191	102.446
519	225.5342	236.938
520	175.7357	189.8417
521	84.9349	57.2076
522	228.6884	234.7903
523	120.7451	70.8698
524	116.1307	14.271
525	327.6846	323.3035
526	158.6166	30.8735
527	116.6563	73.4853
528	213.9224	211.3373
529	150.0542	109.5619
530	221.0045	234.5779
531	150.4959	118.2897
