	Predicted	Observed
0	180.864	188.3322
1	35.6736	49.8484
2	42.0384	53.2997
3	195.8688	187.9389
4	203.08	239.9835
5	147.1056	201.2804
6	130.0832	132.0598
7	97.168	83.806
8	315.7888	365.6855
9	172.7312	154.7049
10	343.6704	298.6678
11	204.5088	189.6488
12	194.5168	236.938
13	150.2608	195.004
14	176.184	158.8448
15	150.5824	150.8216
16	216.8144	234.5779
17	185.7984	219.2809
18	159.992	191.9806
19	67.6448	109.4607
20	52.5376	2.8931
21	172.8912	176.2151
22	172.7936	186.0779
23	155.2896	185.3997
24	197.5312	191.3094
25	293.6288	306.5873
26	162.0832	172.0987
27	28.9888	14.3859
28	198.3344	230.2783
29	137.3232	179.8482
30	79.472	72.3636
31	185.5008	225.9044
32	283.5776	232.2478
33	168.584	202.3728
34	213.8224	253.3399
35	212.9504	201.0541
36	136.9616	214.8717
37	41.5296	2.1226
38	97.1472	147.946
39	217.6864	390.2431
40	359.3584	327.5573
41	138.5808	179.4515
42	169.2192	158.9684
43	145.7232	112.1168
44	167.5248	160.0273
45	207.4128	246.7676
46	94.1088	74.5312
47	162.0528	133.7181
48	78.4416	122.3556
49	333.3056	294.6213
50	193.7792	168.916
51	230.0768	294.1304
52	28.464	32.1305
53	99.4192	79.664
54	321.4288	368.9495
55	267.5248	205.9892
56	244.2832	157.9437
57	83.9008	2.6473
58	144.8272	200.6576
59	304.5776	357.0201
60	317.8368	370.4347
61	105.2624	166.3974
62	95.6144	84.7955
63	346.176	336.3601
64	23.3552	19.3019
65	258.3296	351.8943
66	167.8528	229.2388
67	188.472	163.1737
68	147.3584	108.0286
69	81.904	73.7579
70	219.1296	221.4356
71	114.6848	119.3353
72	118.848	151.2231
73	146.6144	188.9549
74	29.8704	27.0018
75	190.9312	225.4298
76	55.4224	18.9325
77	304.0816	267.6824
78	144.9808	158.5318
79	220.168	205.1523
80	147.4128	133.4628
81	80.1184	122.9729
82	96.1536	111.8214
83	21.256	10.3126
84	121.5808	157.86
85	128.4464	142.8315
86	96.8512	108.2591
87	160.1904	146.2497
88	131.9296	95.4379
89	126.7984	94.2165
90	130.2432	91.9179
91	206.5216	214.2436
92	13.592	9.8524
93	155.2928	139.9749
94	85.0896	68.7502
95	31.2592	35.3675
96	160.3584	156.0002
97	189.6352	233.8401
98	29.1616	35.3687
99	127.2992	121.8048
100	220.3936	194.4193
101	353.192	427.8195
102	173.6416	194.547
103	259.7248	286.4121
104	253.752	358.5644
105	35.3536	31.8771
106	107.9296	107.2989
107	126.5808	176.1101
108	433.8912	526.6111
109	57.2144	43.9159
110	483.1776	508.2688
111	106.8896	141.8063
112	196.128	254.5794
113	344.7216	298.786
114	245.0352	301.9706
115	147.4816	166.4285
116	101.5664	84.3182
117	82.4864	77.1035
118	30.6096	36.4062
119	73.5968	77.8685
120	243.8	285.749
121	156.0288	192.2719
122	28.3168	30.8735
123	183.5712	166.8214
124	88.3536	75.3434
125	80.3104	103.8209
126	232.3552	260.647
127	13.7632	2.1353
128	108.3952	102.446
129	178.6304	204.0289
130	159.5728	168.7538
131	403.3808	405.2263
132	15.84	20.7824
133	54.9728	15.9807
134	48.3456	46.0302
135	407.9072	341.6621
136	107.1712	181.7605
137	212.824	233.2122
138	45.0368	17.2288
139	188.4976	211.3373
140	221.8448	183.9858
141	94.088	74.3206
142	218.7936	339.7581
143	303.9424	323.5822
144	153.0816	144.8069
145	238.8304	249.975
146	140.5328	140.1575
147	142.64	118.2897
148	197.3904	273.7795
149	242.4592	249.975
150	157.4048	140.9661
151	11.056	16.1628
152	252.9152	196.3465
153	88.024	121.7342
154	248.7888	246.1677
155	104.0128	92.2856
156	136.4576	108.351
157	307.9568	275.9027
158	53.6912	48.7846
159	121.3248	123.5676
160	191.7216	183.1173
161	153.472	185.9709
162	154.8752	166.9669
163	144.8784	145.0733
164	89.456	118.0201
165	140.416	163.497
166	190.6896	215.0523
167	153.0288	140.7671
168	277.9856	294.5656
169	26.448	11.0164
170	156.9152	175.3335
171	169.352	172.4012
172	318.9024	324.0919
173	106.152	100.3721
174	145.1024	141.4101
175	8.4208	1.9616
176	57.6208	48.6362
177	325.8544	355.3039
178	470.2	500.879
179	82.392	76.4967
180	160.1344	217.8585
181	58.4288	302.9804
182	229.7792	217.1478
183	118.8576	172.0875
184	46.9696	58.4786
185	208.4992	206.0334
186	29.6288	13.5192
187	239.5632	265.2337
188	381.4016	447.9108
189	272.096	352.6535
190	81.7088	74.9733
191	146.7488	144.0065
192	96.9376	132.0637
193	334.256	404.907
194	234.5648	250.9709
195	263.8816	341.0699
196	164.6016	221.796
197	109.8448	81.294
198	236.6224	369.4127
199	183.1024	205.5789
200	218.9152	209.8293
201	153.9024	362.0147
202	190.9392	239.4014
203	197.2864	268.0468
204	219.6608	217.0135
205	160.1584	179.159
206	37.0928	9.228
207	388.7728	456.4103
208	122.2832	133.609
209	147.0992	143.5306
210	248.9392	239.6884
211	192.3152	209.8891
212	361.6464	411.1455
213	120.7728	132.7075
214	255.6816	413.3018
215	122.0208	145.9638
216	13.4064	2.0602
217	117.5856	160.0976
218	184.8272	189.8417
219	195.1424	226.9084
220	59.4928	14.271
221	229.8832	225.6809
222	46.0464	42.4146
223	149.6608	128.807
224	443.9472	508.781
225	180.4912	194.6191
226	190.4064	263.0306
227	252.6208	219.3058
228	343.1776	389.2294
229	115.3504	91.3918
230	249.816	307.8613
231	42.9504	44.6225
232	92.3488	77.9466
233	308.3888	276.134
234	75.5808	126.0078
235	71.976	62.2448
236	134.5184	130.1509
237	22.5968	1.705
238	74.76	79.3839
239	193.2688	211.8958
240	401.5072	446.7962
241	130.9072	159.4854
242	44.6928	20.9925
243	16.0688	18.1352
244	125.248	122.3388
245	136.3888	158.9684
246	139.5024	136.7067
247	145.28	116.5695
248	56.8832	57.2076
249	224.6096	319.832
250	336.6192	324.8752
251	47.9328	58.399
252	356.4688	418.9769
253	37.2128	32.9992
254	28.2416	23.911
255	223.1216	246.9288
256	121.6112	207.3832
257	97.9728	188.9701
258	166.056	209.9684
259	100.5856	76.3547
260	43.3632	47.2015
261	217.144	232.8867
262	224.9184	214.4452
263	176.88	191.5889
264	231.4608	248.9723
265	132.3312	151.0582
266	192.9632	204.7115
267	256.8592	326.3531
268	14.4496	1.7266
269	197.4128	211.8894
270	251.3984	266.2894
271	21.184	2.2989
272	73.216	2.2363
273	66.8112	52.4811
274	43.4048	48.0639
275	239.5184	178.6506
276	95.5376	127.9461
277	147.6448	140.276
278	255.6336	330.8537
279	98.0432	187.3255
280	127.688	187.5575
281	331.2864	310.1948
282	273.5424	302.0907
283	245.8656	331.9009
284	30.0144	9.8861
285	427.3632	498.6014
286	161.4144	170.9407
287	149.8832	178.816
288	276.0624	258.9556
289	383.3952	385.5332
290	217.2624	222.5811
291	46.9984	15.7694
292	129.2672	116.8155
293	102.3632	96.3456
294	181.6208	283.5455
295	145.7216	127.3721
296	431.2608	437.0048
297	112.6496	128.1516
298	282.3168	232.5852
299	50.5168	78.9581
300	167.4192	148.7853
301	201.5456	378.374
302	198.7136	181.4413
303	321.128	366.595
304	228.4144	224.9686
305	190.512	198.7817
306	235.04	236.7306
307	349.3888	352.854
308	245.7888	312.3935
309	193.2272	255.5432
310	202.2624	225.7424
311	183.7152	214.7751
312	174.0656	210.1038
313	200.2672	221.7594
314	49.5008	49.2047
315	99.0336	103.5407
316	146.5776	143.7808
317	194.1232	206.4429
318	239.1152	407.8755
319	219.2464	154.2027
320	169.9408	178.1112
321	158.7328	156.3607
322	179.232	160.9586
323	263.6816	268.4415
324	355.0864	342.8477
325	242.6672	227.0371
326	24.7808	28.8252
327	142.0896	228.1226
328	243.7776	292.9682
329	146.2704	135.1453
330	202.3424	195.7536
331	358.728	337.6256
332	100.5824	77.9649
333	104.904	124.1961
334	230.0224	244.6264
335	158.1456	188.9701
336	305.3408	263.7347
337	229.1008	272.7273
338	17.6752	24.4296
339	139.0256	163.4287
340	313.5824	276.0897
341	182.4704	179.3774
342	129.6448	109.5987
343	220.1024	212.6906
344	338.7536	364.0
345	46.1776	17.9017
346	267.2352	291.4813
347	13.0112	2.9905
348	180.3216	223.5663
349	35.1056	34.3349
350	18.6016	30.4546
351	30.5968	40.9754
352	206.7088	300.3837
353	45.2912	51.9483
354	159.4624	143.3954
355	366.416	497.4253
356	214.1168	216.877
357	213.9152	211.5602
358	125.96	204.151
359	420.9744	442.471
360	259.1648	314.5123
361	58.416	59.9797
362	382.4704	340.9835
363	161.416	239.3312
364	161.2112	159.4762
365	182.2896	207.3153
366	144.4016	131.9787
367	149.6064	168.6267
368	296.3008	333.1446
369	97.1424	88.0812
370	98.464	96.547
371	169.6272	130.1871
372	250.816	337.4087
373	51.1328	59.6761
374	223.0896	227.0371
375	291.312	309.1426
376	86.5344	87.4519
377	252.5344	319.9609
378	74.6128	63.5051
379	180.3664	198.559
380	136.3184	171.1686
381	142.4752	136.1184
382	262.256	243.7635
383	180.304	187.1002
384	35.2768	51.0578
385	137.4224	248.5914
386	211.984	265.868
387	257.9056	344.9784
388	170.2768	177.7565
389	152.7872	204.9703
390	238.5664	303.7353
391	195.656	195.1139
392	258.8752	263.3269
393	87.5152	131.0501
394	15.632	16.1652
395	108.9824	129.1137
396	247.2176	285.2218
397	263.0784	343.8123
398	303.1456	249.8403
399	126.8896	164.6981
400	328.5904	270.5028
401	249.9024	304.1896
402	77.0816	63.424
403	28.4272	2.1964
404	103.832	13.7433
405	310.3968	252.2449
406	399.1856	406.4139
407	142.848	233.6933
408	289.2352	258.4514
409	119.6768	103.5708
410	149.72	214.1887
411	67.048	46.496
412	40.0656	51.9483
413	160.4112	154.1835
414	337.4192	365.1241
415	99.208	100.9027
416	187.0816	147.6698
417	205.5472	206.9501
418	130.6784	106.5898
419	157.36	151.6887
420	262.9984	363.1158
421	141.5248	124.659
422	90.5872	92.021
423	146.3184	165.4251
424	179.3152	159.5977
425	104.744	70.872
426	105.1248	120.9654
427	307.6544	276.5738
428	99.9072	95.9919
429	70.1648	62.3109
430	8.1104	19.7459
431	108.4016	144.078
432	160.0672	203.9793
433	315.2384	335.1046
434	83.248	85.9989
435	201.88	225.0358
436	40.0464	72.2032
437	339.5456	394.0194
438	180.4688	183.2969
439	106.6768	120.9913
440	134.9152	156.6545
441	187.6368	190.8521
442	264.7232	332.0136
443	313.392	349.6653
444	64.92	77.9466
445	54.6464	46.5191
446	19.3968	2.7704
447	113.2496	2.4861
448	209.2976	210.5691
449	178.4432	194.9088
450	393.2528	329.6836
451	61.6384	16.3258
452	122.8416	120.9644
453	268.3744	287.197
454	315.384	346.2627
455	140.912	172.9319
456	141.5184	145.9638
457	140.5344	248.6271
458	194.0112	267.0452
459	183.584	230.9816
460	275.5552	336.329
461	114.6496	117.9755
462	163.2864	149.7458
463	278.9232	378.1464
464	54.8192	2.6175
465	103.4224	76.1457
466	202.328	194.4276
467	130.6832	126.2539
468	108.7568	133.5887
469	375.7216	382.912
470	58.2736	54.9131
471	180.3392	225.9044
472	221.7344	265.6017
473	198.5184	261.68
474	44.7376	46.3982
475	284.232	295.7545
476	205.096	227.5164
477	72.3968	58.5067
478	350.8416	386.8991
479	165.9328	164.5622
480	301.7376	306.1998
481	183.8656	180.121
482	131.7424	152.0916
483	231.4432	313.8711
484	110.7552	143.7931
485	228.9504	222.7642
486	79.928	61.6774
487	177.8688	194.3415
488	127.792	110.7088
489	39.6496	44.7844
490	135.0416	102.7978
491	110.416	74.9249
492	251.904	223.8488
493	91.072	77.1249
494	131.0432	154.0159
495	65.9504	14.9968
496	252.8496	313.3285
497	117.0272	101.8567
498	109.736	109.5619
499	169.2656	168.1543
500	235.6992	275.9748
501	181.4848	186.432
502	10.136	25.2886
503	80.2016	73.4024
504	186.4656	211.4301
505	93.8784	92.1502
506	166.4576	163.0619
507	195.8992	191.3317
508	186.9168	232.38
509	244.6224	231.8588
510	240.888	357.3361
511	18.9296	27.9711
512	39.2496	9.0013
513	423.2544	454.8227
514	152.3296	128.8398
515	106.2656	100.7927
516	270.5488	351.5723
517	201.52	239.4014
518	144.4048	125.7593
519	21.3776	2.9893
520	40.0496	48.2619
521	167.0144	238.1947
522	136.5712	185.2213
523	46.1472	73.4853
524	225.5264	286.7473
525	147.512	119.7979
526	252.1744	296.9821
527	259.7584	214.9633
528	110.0944	138.0344
529	144.6608	184.014
530	163.6416	153.5542
531	142.7824	112.8917
532	56.0736	64.8582
533	105.2448	82.6951
534	141.8464	143.3915
535	249.1792	291.2334
536	315.9392	335.1695
537	280.96	210.7872
538	153.3216	112.5146
539	416.4768	355.9971
540	125.5104	150.042
541	173.8528	170.0485
542	58.7184	65.4498
543	124.0096	110.8769
544	224.8352	189.6439
545	132.2224	132.6916
546	56.4832	262.3413
547	149.5856	154.7494
548	199.3856	337.1064
549	79.8128	81.3632
550	149.1536	197.8923
551	145.4704	203.9505
552	135.3392	168.116
553	13.2576	1.6863
554	169.3856	148.9688
555	125.272	153.3387
556	150.6112	143.1559
557	311.2384	370.9442
558	39.2864	2.3409
559	105.2608	203.9793
560	102.1504	189.671
561	155.2608	213.6876
562	33.8208	31.3728
563	58.296	16.1882
564	173.5728	217.7954
565	20.0224	56.761
566	319.6512	356.6581
567	183.1456	174.0223
568	168.9504	212.4093
569	34.5296	10.3219
570	412.1184	343.443
571	194.6592	214.2436
572	175.5792	126.7922
573	235.6032	237.0702
574	238.8672	262.5545
575	283.68	338.1066
576	356.8144	390.8087
577	208.648	178.5279
578	123.9936	99.5504
579	109.4064	70.8698
580	122.2944	108.9918
581	197.7152	187.1002
582	232.3392	195.9366
583	147.872	111.8233
584	135.104	120.9989
585	189.8528	179.4283
586	251.576	241.5126
587	298.224	346.8871
588	87.1664	97.6765
589	347.2208	379.9341
590	188.8224	195.9579
591	46.6432	2.2555
592	173.16	134.6472
593	48.0976	46.5453
594	239.1584	234.7903
595	78.5232	82.9684
596	178.7856	227.5943
597	144.5456	120.9644
598	87.9568	67.2941
599	114.9024	99.6717
600	137.7072	169.1551
601	262.544	264.4087
602	7.0496	16.7756
603	85.848	80.0273
604	128.6752	116.0287
605	123.2672	100.2759
606	315.0176	327.4812
607	202.896	215.0654
608	210.1488	236.8901
609	239.816	265.035
610	108.1888	112.2238
611	48.1568	56.1189
612	20.4208	33.4162
613	300.6	323.484
614	154.7248	209.1927
615	142.2672	144.9682
616	157.76	167.5287
617	63.6704	52.6734
618	157.264	160.004
619	232.288	215.1585
620	159.4768	176.873
621	82.1968	75.4106
622	123.3248	108.5109
623	44.1056	51.9598
624	256.5968	231.1684
625	109.68	102.4556
626	54.008	32.9648
627	301.0496	278.1701
628	277.768	268.9058
629	263.3584	223.2222
630	36.9184	32.8718
631	115.9456	112.6373
632	193.1248	189.8986
633	144.2224	256.2849
634	86.376	69.9517
635	194.7664	213.1681
636	72.7344	63.2376
637	361.0048	448.4082
638	323.5632	298.7782
639	338.112	375.576
640	226.2864	273.5577
641	230.4512	164.2073
642	87.6336	89.6204
643	215.6912	224.9686
644	40.7968	36.2862
645	34.7744	2.9746
646	235.6048	248.9723
647	195.6096	214.6185
648	191.768	239.9835
649	99.7312	92.2227
650	226.488	234.1165
651	148.6192	151.1765
652	230.12	254.2552
653	435.952	447.0127
654	89.8224	140.2279
655	304.7024	331.7102
656	323.9152	330.8391
657	160.0224	146.0142
658	152.0512	131.4051
659	202.0144	176.6971
660	175.6848	178.671
661	102.6768	112.1657
662	249.2912	312.9191
663	195.8096	202.7537
664	207.8432	199.2056
665	51.8512	15.0873
666	212.6224	243.7462
667	240.7552	193.1207
668	35.3072	37.4879
669	81.4512	62.2305
670	91.0352	83.4874
671	129.3808	123.0077
672	359.2752	390.8087
673	16.392	16.4313
674	415.5648	471.7867
675	128.4256	136.2062
676	160.9488	131.9317
677	118.5792	141.6758
678	64.0432	20.6798
679	31.1808	2.9373
680	133.0176	124.6783
681	268.3216	252.803
682	325.584	253.4161
683	81.8176	92.0682
684	423.0592	406.3199
685	353.144	323.3035
686	67.0704	116.417
687	100.7648	89.0293
688	166.1536	140.9378
689	44.9824	48.388
690	164.6992	225.9044
691	333.0816	364.2429
692	112.712	140.9712
693	191.2992	199.9872
694	15.0976	24.7788
695	142.56	155.5272
696	95.5744	73.6136
697	4.6576	1.6751
698	187.8592	190.3208
699	341.2096	312.8938
700	217.3488	220.8594
701	143.0528	191.0348
702	35.3168	38.9604
703	108.4112	96.7581
