	Predicted	Observed
0	61.3504	48.7846
1	426.4576	364.2429
2	212.0384	210.5691
3	157.3888	248.5914
4	54.2912	59.6761
5	109.7856	91.9179
6	215.9232	222.5811
7	139.6352	148.9688
8	359.1744	312.8938
9	171.3216	154.2027
10	157.952	168.916
11	151.328	102.4556
12	114.9824	120.9644
13	175.7056	204.9703
14	13.0176	1.6751
15	197.0176	196.3465
16	172.9152	230.2783
17	208.992	214.7751
18	108.0064	151.2231
19	163.9744	150.8216
20	254.5216	236.938
21	126.3424	77.9466
22	15.4752	2.9373
23	359.6096	294.6213
24	33.7728	24.4296
25	98.4896	116.8155
26	340.7872	342.8477
27	7.1744	13.5192
28	203.5584	236.7306
29	245.632	227.0371
30	75.0784	75.4106
31	321.6448	301.9706
32	284.4032	407.8755
33	112.9344	101.8567
34	86.656	108.2591
35	249.7728	249.975
36	260.8896	232.2478
37	212.8896	214.6185
38	119.8208	108.9918
39	97.9456	96.7581
40	312.6592	351.8943
41	180.1024	195.9579
42	50.0032	49.8484
43	187.4624	189.8986
44	98.8672	118.2897
45	237.1968	227.0371
46	291.1808	312.9191
47	91.0848	79.664
48	81.792	84.7955
49	221.0368	178.6506
50	519.1552	500.879
51	135.8592	248.6271
52	232.9408	234.5779
53	275.5968	338.1066
54	60.2112	62.3109
55	12.6656	10.3219
56	173.056	151.0582
57	116.4544	133.4628
58	159.3856	160.0273
59	180.3904	189.6488
60	204.0896	227.5943
61	55.7632	46.5453
62	232.8384	214.2436
63	65.5808	75.3434
64	183.264	203.9505
65	203.4112	194.547
66	204.064	226.9084
67	191.8272	164.5622
68	186.0736	179.4515
69	221.5936	224.9686
70	56.1856	46.0302
71	191.7056	219.3058
72	85.5424	132.0637
73	82.2016	83.806
74	387.9168	336.3601
75	16.3328	16.3258
76	181.0688	136.7067
77	169.248	167.5287
78	224.2432	238.1947
79	7.104	9.228
80	459.232	406.4139
81	137.8304	135.1453
82	60.9856	72.2032
83	340.3264	333.1446
84	8.6784	15.9807
85	225.5552	326.3531
86	86.0864	100.9027
87	179.6672	193.1207
88	196.8064	163.497
89	234.9056	205.1523
90	231.7504	378.374
91	204.6912	215.0523
92	123.072	112.6373
93	232.2304	267.0452
94	119.1296	99.6717
95	270.432	285.749
96	163.7568	153.5542
97	167.9552	163.1737
98	184.3648	189.671
99	182.7328	185.2213
100	220.4864	306.1998
101	131.4432	131.0501
102	14.7584	15.7694
103	78.9056	74.5312
104	258.0288	312.3935
105	335.0336	276.134
106	189.2544	179.3774
107	34.6944	31.3728
108	179.456	209.8891
109	10.3424	9.8861
110	364.224	343.443
111	108.416	120.9644
112	284.4608	252.2449
113	163.8592	178.5279
114	231.1168	211.5602
115	122.8928	99.5504
116	293.0176	286.4121
117	162.2784	130.1871
118	88.384	76.1457
119	90.1824	97.6765
120	109.7344	120.9654
121	243.328	234.1165
122	372.9408	405.2263
123	271.0656	285.2218
124	141.3568	140.7671
125	85.184	126.0078
126	25.2672	23.911
127	198.9248	166.9669
128	260.8	323.484
129	165.5424	164.2073
130	149.8624	192.2719
131	125.2224	120.9913
132	142.8416	159.4762
133	106.9696	147.946
134	42.752	32.9992
135	154.3488	156.6545
136	16.4992	2.1964
137	55.616	59.9797
138	272.9024	307.8613
139	216.3584	194.6191
140	151.2384	143.7808
141	88.16	109.4607
142	404.96	390.8087
143	223.872	283.5455
144	82.88	81.3632
145	406.1696	366.595
146	297.0624	275.9027
147	163.7696	170.0485
148	22.0672	27.9711
149	158.4832	150.042
150	61.6	74.9733
151	354.7712	344.9784
152	176.1408	203.9793
153	114.304	143.7931
154	170.8352	120.9989
155	341.664	346.8871
156	251.84	265.035
157	20.7424	19.3019
158	191.3216	188.9549
159	19.552	2.4861
160	13.4272	16.7756
161	340.4224	332.0136
162	264.4608	265.868
163	6.8224	2.0602
164	158.0096	124.659
165	213.5936	239.3312
166	3.6352	2.6175
167	128.5056	129.1137
168	183.1616	187.1002
169	325.9072	337.6256
170	134.5472	153.3387
171	73.0368	100.2759
172	180.1536	171.1686
173	46.7584	53.2997
174	260.8576	249.975
175	387.2832	427.8195
176	165.6832	188.9701
177	281.8816	275.9748
178	229.664	217.8585
179	78.6752	61.6774
180	224.2624	211.4301
181	155.072	186.432
182	312.8768	270.5028
183	13.0688	10.3126
184	225.6704	362.0147
185	41.696	46.5191
186	40.4224	47.2015
187	240.3648	239.9835
188	350.4896	370.9442
189	229.9776	250.9709
190	132.3648	160.0976
191	112.8768	108.0286
192	388.7168	329.6836
193	382.5152	335.1046
194	329.0752	358.5644
195	153.344	165.4251
196	19.6672	16.4313
197	49.2864	31.8771
198	467.0208	447.9108
199	158.5088	144.9682
200	199.8272	190.8521
201	125.8496	130.1509
202	147.4688	154.1835
203	178.752	166.4285
204	327.1616	336.329
205	398.7072	375.576
206	159.456	158.5318
207	157.4912	112.5146
208	162.464	140.276
209	513.0048	508.781
210	119.7888	144.8069
211	209.888	273.5577
212	339.456	335.1695
213	200.928	213.6876
214	174.3616	191.9806
215	154.1312	141.4101
216	376.8256	385.5332
217	440.832	471.7867
218	180.4032	214.1887
219	142.6048	116.0287
220	84.5888	102.7978
221	217.8688	201.0541
222	55.8528	20.7824
223	27.7632	2.2555
224	121.7088	122.3556
225	249.5808	194.4193
226	195.3216	179.4283
227	55.0016	46.3982
228	387.0336	394.0194
229	32.8128	35.3687
230	15.7504	9.8524
231	250.7584	223.2222
232	132.3328	233.6933
233	317.408	357.3361
234	65.6896	80.0273
235	172.5376	204.151
236	115.04	112.2238
