	Predicted	Observed
0	331.8352	330.8391
1	75.7721	54.9131
2	126.2967	122.3388
3	11.7484	9.8861
4	2.302	1.705
5	45.8569	56.1189
6	121.3025	108.9918
7	384.7332	385.5332
8	108.4964	110.8769
9	72.7883	77.8685
10	250.3697	263.3269
11	117.7578	89.0293
12	156.4015	165.4251
13	373.7696	355.9971
14	262.7667	232.2478
15	2.8052	1.7266
16	12.4541	15.9807
17	214.0211	234.7903
18	85.5237	96.547
19	197.4163	213.6876
20	228.8357	283.5455
21	291.0605	313.3285
22	83.0659	88.0812
23	147.8571	144.9682
24	187.7995	221.796
25	196.0067	197.8923
26	142.6319	139.9749
27	290.9092	309.1426
28	248.6444	253.3399
29	53.8994	46.3982
30	17.7102	14.9968
31	129.2186	124.659
32	141.5292	144.8069
33	241.7462	231.1684
34	115.8011	116.8155
35	66.4244	73.4024
36	55.0164	56.761
37	102.1379	101.8567
38	101.9635	107.2989
39	6.7891	11.0164
40	146.9389	159.4762
41	370.5443	446.7962
42	35.2859	35.3687
43	222.4225	191.3094
44	162.1986	140.2279
45	469.4935	456.4103
46	42.8361	49.2047
47	97.2901	79.664
48	29.0566	27.9711
49	169.7269	228.1226
50	28.4524	28.8252
51	136.5015	140.1575
52	74.6374	63.2376
53	475.276	498.6014
54	180.5627	185.9709
55	90.0126	85.9989
56	177.0118	203.9505
57	114.0223	94.2165
58	152.3524	134.6472
59	209.0674	209.8293
60	188.1208	188.3322
61	328.1681	378.1464
62	239.355	224.9686
63	498.475	447.9108
64	217.0543	212.4093
65	269.7305	265.868
66	118.8751	112.2238
67	206.2149	214.1887
68	304.2669	276.5738
69	374.9525	404.907
70	293.8698	270.5028
71	179.5212	154.7494
72	301.6196	352.6535
73	104.3511	124.1961
74	240.6093	234.1165
75	317.9472	364.0
76	408.4104	364.2429
77	237.9162	217.0135
78	170.128	143.7808
79	207.1853	236.7306
80	241.4535	303.7353
81	219.5511	205.1523
82	111.9398	95.9919
83	1.8993	9.228
84	190.6051	203.9793
85	260.8914	407.8755
86	126.2487	118.2897
87	88.8444	70.872
88	304.3036	276.134
89	157.1783	142.8315
90	176.0858	158.8448
91	117.9929	143.7931
92	213.364	211.8958
93	217.9607	234.5779
94	134.3229	116.0287
95	218.0979	195.9366
96	260.6423	255.5432
97	164.1278	158.9684
98	56.431	42.4146
99	183.7206	188.9549
100	217.2783	246.1677
101	181.398	179.8482
102	200.5329	178.6506
103	220.0614	198.559
104	427.5294	448.4082
105	86.7313	100.2759
106	25.5694	2.2555
107	63.9773	46.496
108	203.2082	211.3373
109	120.036	108.0286
110	45.7793	16.3258
111	335.1933	298.786
112	150.6187	127.3721
113	211.1406	205.5789
114	197.8607	198.7817
115	64.4888	64.8582
116	359.4075	341.6621
117	322.6308	335.1695
118	176.912	164.5622
119	182.5033	209.8891
120	331.3415	368.9495
121	197.7718	215.0523
122	163.3943	170.9407
123	282.8348	312.9191
124	239.0103	312.3935
125	259.739	331.9009
126	68.8779	52.6734
127	87.8103	92.2856
128	329.4357	327.4812
129	30.7842	32.9992
130	384.2191	390.8087
131	177.2749	179.4515
132	361.1572	352.854
133	290.039	314.5123
134	40.2987	36.4062
135	78.798	92.2227
136	106.2586	77.9466
137	409.454	390.8087
138	192.5491	189.8417
139	207.0517	219.2809
140	14.6962	16.4313
141	129.7423	120.9644
142	385.0756	343.443
143	164.6107	160.0273
144	35.6446	35.3675
145	196.8433	202.3728
146	166.4757	156.0002
147	120.0258	108.351
148	9.3578	14.271
149	255.1346	243.7635
150	200.6428	238.1947
151	188.0852	189.6488
152	29.8508	23.911
153	39.7194	43.9159
154	208.6664	263.0306
155	14.7439	2.8931
156	327.8056	355.3039
157	69.6207	77.9466
158	37.4433	31.8771
159	6.8762	2.7704
160	177.0084	171.1686
161	192.3601	195.004
162	411.6391	471.7867
163	228.038	210.1038
164	139.0697	163.4287
165	287.4783	275.9748
166	31.3353	30.8735
167	154.5243	133.609
168	10.6802	2.1964
169	233.9218	209.9684
170	124.0259	108.5109
171	294.8661	306.5873
172	162.7583	155.5272
173	319.8082	341.0699
174	46.7963	48.2619
175	58.4567	58.5067
176	269.285	264.4087
177	192.6291	190.8521
178	190.2683	194.4276
179	232.9709	221.7594
180	33.4516	34.3349
181	298.5129	324.0919
182	77.8531	77.1035
183	172.7413	157.9437
184	274.0545	252.2449
185	203.893	216.877
186	255.9183	265.6017
187	88.441	84.7955
188	201.7721	177.7565
189	112.3256	116.417
190	191.2077	190.3208
191	156.1303	158.5318
192	56.3261	48.6362
193	134.4376	131.9317
194	125.6086	133.7181
195	270.0318	294.5656
196	177.6806	175.3335
197	230.2428	248.9723
198	220.8603	194.3415
199	25.0206	24.7788
200	205.5841	212.6906
201	6.66	2.9905
202	293.1801	258.9556
203	178.0286	181.7605
204	115.0355	120.9913
205	35.2523	16.1882
206	366.1804	405.2263
207	226.9444	227.0371
208	312.7669	327.5573
209	1.6037	2.1226
210	135.0095	120.9989
211	157.5076	154.1835
212	232.1245	337.1064
213	215.4773	194.547
214	165.758	145.0733
215	265.3683	232.5852
216	361.885	349.6653
217	223.6994	214.7751
218	346.8816	324.8752
219	193.5621	230.2783
220	99.8979	108.2591
221	272.3909	337.4087
222	160.7351	176.1101
223	48.1536	51.9598
224	183.8256	184.014
225	203.4713	211.5602
226	55.5776	73.4853
227	338.3203	365.6855
228	222.3389	225.4298
229	314.7607	370.4347
230	254.37	338.1066
231	204.4544	246.7676
232	138.7646	140.9661
233	196.5667	183.9858
234	168.0325	172.9319
235	236.07	224.9686
236	263.462	268.4415
237	158.5074	150.042
238	157.0896	176.873
239	132.0685	120.9644
240	241.7123	244.6264
241	209.9304	181.4413
242	158.9099	146.2497
243	166.9418	153.5542
244	172.3485	168.116
245	315.1241	331.7102
246	211.291	217.7954
247	53.1716	51.0578
248	38.6367	44.7844
249	38.5556	46.5191
250	133.4217	135.1453
251	292.104	286.4121
252	347.8213	342.8477
253	207.1639	178.1112
254	176.8054	163.1737
255	46.0568	37.4879
256	6.3827	2.3409
257	174.903	166.4285
258	119.8164	109.5987
259	118.3109	103.5407
260	212.2865	241.5126
261	383.228	379.9341
262	2.9491	1.6863
263	255.7849	326.3531
264	192.2581	183.1173
265	227.1036	248.9723
266	237.0403	221.4356
267	170.998	179.159
268	263.7454	287.197
269	582.7629	508.2688
270	205.434	213.1681
271	77.628	69.9517
272	230.1909	233.2122
273	140.637	131.4051
274	226.7792	214.2436
275	23.385	19.7459
276	31.9578	32.8718
277	123.039	102.4556
278	108.9622	96.7581
279	137.4197	140.9712
280	147.653	152.0916
281	109.5666	151.2231
282	407.277	497.4253
283	218.728	214.8717
284	151.1198	157.86
285	76.2042	63.424
286	358.9187	336.3601
287	254.618	369.4127
288	118.4197	200.6576
289	315.9139	357.3361
290	178.8932	174.0223
291	202.5374	231.8588
292	94.7678	73.7579
293	173.9643	179.3774
294	134.5899	145.9638
295	209.3697	214.2436
296	98.7508	82.6951
297	176.2822	180.121
298	136.3491	132.6916
299	5.5624	2.0602
300	250.339	237.0702
301	149.1396	156.3607
302	307.3379	358.5644
303	40.6723	47.2015
304	32.0419	18.1352
305	100.334	103.8209
306	402.5982	366.595
307	6.9554	9.8524
308	232.124	204.0289
309	315.2315	298.6678
310	86.6185	74.9733
311	234.0054	250.9709
312	115.3352	97.6765
313	185.8635	203.9793
314	82.6211	74.5312
315	307.8095	319.9609
316	142.1229	131.0501
317	65.9776	59.6761
318	40.8221	48.0639
319	39.6331	15.0873
320	105.2085	99.5504
321	265.9973	291.2334
322	357.3519	370.9442
323	176.4357	209.1927
324	168.5085	151.0582
325	173.3322	178.816
326	106.6116	91.3918
327	121.7713	147.946
328	221.1924	222.7642
329	36.9893	32.9648
330	219.03	215.0654
331	291.8989	313.8711
332	114.7652	117.9755
333	26.0823	24.4296
334	196.4214	225.9044
335	336.6738	298.7782
336	212.9969	202.7537
337	372.6865	323.3035
338	109.8765	154.0159
339	188.4753	168.1543
340	317.208	332.0136
341	193.5175	225.9044
342	187.7797	154.7049
343	192.1668	187.1002
344	193.7066	191.5889
345	223.2956	273.7795
346	49.2492	46.5453
347	216.6077	206.4429
348	162.5059	147.6698
349	74.3341	62.2448
350	112.9602	89.6204
351	227.4265	268.0468
352	191.9783	191.0348
353	169.6608	183.2969
354	87.5759	77.9649
355	153.4652	163.0619
356	146.2194	128.8398
357	300.5159	267.6824
358	253.3358	268.9058
359	122.1194	116.5695
360	154.2508	172.4012
361	2.6673	2.9373
362	57.52	51.9483
363	140.8857	140.9378
364	172.9584	151.1765
365	5.9446	2.2363
366	407.9226	411.1455
367	175.7542	189.671
368	129.918	166.3974
369	12.0634	10.3126
370	58.0767	20.6798
371	68.7193	57.2076
372	65.9917	83.4874
373	162.8348	146.0142
374	6.4731	10.3219
375	117.7148	121.8048
376	209.99	222.5811
377	193.2866	214.6185
378	142.8425	126.7922
379	71.6932	72.3636
380	37.8392	18.9325
381	136.9939	143.5306
382	180.0208	164.6981
383	268.3786	272.7273
384	122.0414	120.9654
385	70.4394	65.4498
386	40.5487	40.9754
387	132.3702	136.1184
388	266.488	301.9706
389	116.7955	119.3353
390	159.8862	119.7979
391	89.5666	92.1502
392	295.0185	249.8403
393	460.3618	526.6111
394	116.5702	106.5898
395	2.5206	2.4861
396	144.8598	130.1871
397	40.7992	48.388
398	265.6654	253.4161
399	88.3292	70.8698
400	225.5192	215.1585
401	151.7333	159.4854
402	163.0015	166.8214
403	246.6802	223.8488
404	322.7033	336.329
405	98.771	141.8063
406	147.7097	256.2849
407	5.8303	9.0013
408	252.6096	254.2552
409	544.6174	500.879
410	65.2421	78.9581
411	146.7924	248.5914
412	149.7155	144.078
413	109.8366	99.6717
414	123.5553	122.9729
415	191.2369	193.1207
416	85.8748	126.0078
417	136.6628	144.0065
418	180.688	185.2213
419	81.7055	92.0682
420	18.5968	13.5192
421	246.3624	260.647
422	167.1193	172.0875
423	94.1967	111.8214
424	255.4104	295.7545
425	123.4735	132.7075
426	284.5813	343.8123
427	30.5609	31.3728
428	286.7035	292.9682
429	237.3792	236.8901
430	118.01	110.7088
431	282.883	262.5545
432	170.957	160.004
433	221.7619	210.5691
434	120.3425	95.4379
435	207.3613	225.7424
436	72.6903	17.9017
437	272.5987	265.2337
438	133.4655	133.4628
439	8.2643	2.2989
440	142.4374	140.276
441	258.783	243.7462
442	78.9511	61.6774
443	434.6351	442.471
444	43.6252	15.7694
445	41.7338	30.4546
446	193.8754	195.1139
447	137.7595	125.7593
448	132.7446	124.6783
449	29.5119	32.1305
450	228.5429	225.0358
451	112.907	112.6373
452	160.9482	188.9701
453	165.692	168.6267
454	104.3343	102.7978
455	122.9636	145.9638
456	12.8535	16.7756
457	255.7744	294.1304
458	296.7942	339.7581
459	266.2529	319.832
460	442.1245	406.4139
461	34.5963	33.4162
462	219.4591	261.68
463	200.9373	204.151
464	278.1899	300.3837
465	203.6324	201.0541
466	185.081	225.9044
467	215.1144	362.0147
468	196.86	211.8894
469	85.6086	79.3839
470	128.6414	112.1168
471	134.9397	148.7853
472	201.0937	219.3058
473	182.8803	158.9684
474	67.5753	63.5051
475	174.1107	154.2027
476	87.0966	75.4106
477	26.0432	16.1628
478	370.6732	389.2294
479	308.4131	351.5723
480	218.431	214.9633
481	147.1505	187.5575
482	57.4652	67.2941
483	78.0099	72.2032
484	131.3583	123.0077
485	484.6262	447.0127
486	93.4309	81.294
487	103.0855	109.4607
488	66.3751	76.4967
489	280.8027	302.0907
490	152.5965	136.7067
491	185.6163	199.9872
492	298.5813	275.9027
493	33.0589	14.3859
494	110.9754	84.3182
495	273.4148	258.4514
496	61.6893	52.4811
497	425.4344	406.3199
498	202.3953	206.0334
499	97.1359	121.7342
500	129.5271	141.4101
501	153.0971	141.6758
502	71.5346	59.9797
503	3.6097	2.1353
504	209.3472	239.4014
505	109.0691	109.5619
506	235.7889	194.4193
507	229.2961	233.8401
508	104.4255	233.6933
509	288.1211	363.1158
510	130.9964	100.3721
511	174.915	176.6971
512	2.7215	1.9616
513	349.951	312.8938
514	129.5479	112.8917
515	80.8194	76.3547
516	124.6885	129.1137
517	181.4568	194.6191
518	144.7061	169.1551
519	381.4616	340.9835
520	46.9582	20.9925
521	137.694	133.5887
522	221.5957	227.0371
523	95.5835	77.1249
524	130.3553	248.6271
525	317.8989	346.8871
526	194.1144	189.8986
527	136.1536	143.1559
528	102.4579	127.9461
529	219.2644	236.938
530	402.6778	357.0201
531	197.025	223.5663
532	220.7938	225.6809
533	254.0883	306.1998
534	212.0488	239.3312
535	188.4995	187.9389
536	207.2139	211.4301
537	189.2384	164.2073
538	306.7473	302.9804
539	82.9437	82.9684
540	167.5185	167.5287
541	210.3643	232.8867
542	258.4538	252.803
543	213.3869	214.4452
544	230.6172	239.6884
545	183.3384	176.2151
546	53.474	51.9483
547	109.21	91.9179
548	119.6333	131.9787
549	95.7377	100.7927
550	206.0019	196.3465
551	167.6996	186.0779
552	391.5162	418.9769
553	349.4411	337.6256
554	233.8311	239.9835
555	55.7022	46.0302
556	31.296	38.9604
557	214.5725	273.5577
558	192.2565	163.497
559	138.9769	153.3387
560	37.9956	36.2862
561	7.8015	2.9746
562	299.9158	330.8537
563	141.5295	160.0976
564	75.9654	74.3206
565	140.995	140.7671
566	340.0154	294.6213
567	109.7268	96.3456
568	138.7517	123.5676
569	302.8577	333.1446
570	160.4858	192.2719
571	35.6267	49.8484
572	142.2978	143.3954
573	405.1494	382.912
574	183.8182	187.1002
575	196.2059	195.7536
576	0.6128	2.9893
577	190.3065	227.5943
578	202.6919	189.6439
579	183.1051	390.2431
580	106.1341	122.3556
581	198.6851	227.5164
582	203.1338	178.671
583	176.9936	166.9669
584	83.654	58.4786
585	235.6277	230.9816
586	158.9328	187.3255
587	265.9405	265.035
588	515.3006	437.0048
589	334.6378	346.2627
590	126.7345	126.2539
591	174.2809	160.9586
592	184.7079	199.2056
593	111.6518	112.1657
594	163.6099	168.7538
595	215.8743	226.9084
596	155.2616	170.0485
597	205.8086	217.1478
598	83.118	100.9027
599	22.0721	16.1652
600	131.8863	111.8233
601	30.2522	27.0018
602	84.3403	73.6136
603	191.3406	232.38
604	326.7669	344.9784
605	230.853	239.4014
606	290.6529	307.8613
607	11.8856	13.7433
608	156.2724	159.5977
609	222.3631	378.374
610	285.8747	263.7347
611	158.4021	172.0987
612	238.761	229.2388
613	158.5303	149.7458
614	114.6329	262.3413
615	120.2996	102.446
616	261.0263	266.2894
617	48.8648	17.2288
618	247.0288	223.2222
619	253.4142	249.975
620	243.1061	205.9892
621	367.6226	329.6836
622	269.3461	285.749
623	236.6115	239.9835
624	26.1084	19.3019
625	278.7709	291.4813
626	99.2823	76.1457
627	167.3859	185.3997
628	365.8103	356.6581
629	216.6928	206.9501
