	Predicted	Observed
0	166.4174	227.5943
1	173.4716	19.3019
2	197.8131	89.0293
3	177.2563	122.3388
4	231.9372	164.2073
5	209.6142	215.0654
6	177.1702	191.3094
7	186.4495	168.7538
8	151.2836	157.86
9	134.4444	37.4879
10	243.2149	234.5779
11	157.8168	116.5695
12	230.9485	168.6267
13	127.5155	112.1168
14	241.0545	253.3399
15	191.923	189.6488
16	112.3899	63.5051
17	162.6113	84.3182
18	347.2815	446.7962
19	212.6579	116.417
20	184.8019	189.8417
21	225.7356	83.4874
22	272.9661	202.7537
23	196.671	164.6981
24	143.925	91.3918
25	208.8365	51.0578
26	271.1977	145.9638
27	218.3108	369.4127
28	176.8516	202.3728
29	259.123	96.547
30	229.4948	263.0306
31	163.1175	198.559
32	201.1639	214.9633
33	237.1319	138.0344
34	58.6138	1.7266
35	177.0394	144.9682
36	258.6914	237.0702
37	279.899	243.7635
38	129.8605	154.7494
39	120.898	16.1628
40	290.3492	211.8958
41	350.3844	298.786
42	319.7769	133.7181
43	229.8402	330.8391
44	249.2017	252.2449
45	161.4802	140.9378
46	133.165	73.7579
47	196.4116	163.0619
48	121.6386	32.8718
49	583.5878	116.0287
50	144.1704	70.8698
51	186.3255	219.2809
52	136.1485	112.2238
53	222.2061	351.5723
54	156.9737	225.9044
55	349.8979	187.5575
56	160.0545	168.116
57	288.6716	102.7978
58	309.4287	313.3285
59	105.1877	20.6798
60	157.1083	131.9787
61	151.1414	17.2288
62	159.4878	131.9317
63	204.9812	158.8448
64	199.9604	199.2056
65	224.1306	109.4607
66	94.9455	52.6734
67	77.2321	42.4146
68	126.5823	110.7088
69	132.8471	248.6271
70	258.8285	337.6256
71	132.6982	77.1249
72	276.0777	249.8403
73	276.6933	225.9044
74	256.588	204.9703
75	185.7755	143.1559
76	167.6969	48.388
77	132.0291	152.0916
78	174.9333	82.9684
79	251.5196	172.0987
80	141.3786	46.0302
81	340.1939	498.6014
82	349.3262	382.912
83	130.5258	163.4287
84	168.7118	158.9684
85	143.5867	108.5109
86	163.6885	77.8685
87	181.9323	230.2783
88	171.7828	74.9249
89	265.9362	363.1158
90	148.5017	23.911
91	317.9628	370.9442
92	212.6961	233.8401
93	168.9113	228.1226
94	248.725	261.68
95	373.2838	406.3199
96	252.4517	244.6264
97	183.4165	184.014
98	169.358	127.9461
99	241.9632	327.5573
100	305.1672	298.7782
101	340.352	342.8477
102	153.7469	120.9644
103	146.4804	81.294
104	177.2124	227.5164
105	164.9968	199.9872
106	67.9914	9.0013
107	332.2493	126.0078
108	212.8564	302.9804
109	171.884	120.9654
110	198.8494	177.7565
111	134.376	94.2165
112	401.3831	447.0127
113	111.2035	34.3349
114	121.7449	11.0164
115	216.6385	63.424
116	249.5791	268.4415
117	163.2727	149.7458
118	284.645	351.8943
119	81.9286	9.8861
120	454.4437	406.4139
121	232.2551	188.3322
122	211.7517	207.3153
123	224.6922	178.816
124	188.2509	203.9793
125	178.1897	148.7853
126	142.744	102.4556
127	140.1336	229.2388
128	135.4362	18.1352
129	168.1316	49.8484
130	157.6434	72.2032
131	296.1566	166.3974
132	170.9497	214.8717
133	172.0775	213.1681
134	263.0993	246.1677
135	146.231	49.2047
136	263.749	232.2478
137	366.0252	278.1701
138	273.6512	336.3601
139	140.2067	127.3721
140	297.8329	323.5822
141	185.8914	130.1871
142	146.3706	48.2619
